row_no,item_code,description,qty,rate,amount,gst,total,_source_file,_folder,_project,unit,unit_2
Prepared by:,TARIQ,,,,,,,purchase_bills\SATTI_APTS_Bill_14_BILL16758.xlsx,purchase_bills,SATTI_APTS,,
BILL/16/005   Karachi Sanitary Depot   2015/09/19,,,,,,,,purchase_bills\SATTI_APTS_Bill_15_BILL_16_005.xlsx,purchase_bills,SATTI_APTS,,
1,CLASS A BRICK,BRICK-CLA,492.6,13697.0,6747142.2,,6747142.2,purchase_bills\SATTI_APTS_Bill_15_BILL_16_005.xlsx,purchase_bills,SATTI_APTS,,
2,"TILE 12X12""","Cer.Tile 12""",337.7,82.0,27691.4,4707.54,32398.94,purchase_bills\SATTI_APTS_Bill_15_BILL_16_005.xlsx,purchase_bills,SATTI_APTS,,
3,WIR-CP3,3/0.029 Copper Wire,185,50.0,9250.0,1572.5,10822.5,purchase_bills\SATTI_APTS_Bill_15_BILL_16_005.xlsx,purchase_bills,SATTI_APTS,,
4,6MM_GLASS,6mm_glass,140.1,239.0,33483.9,,33483.9,purchase_bills\SATTI_APTS_Bill_15_BILL_16_005.xlsx,purchase_bills,SATTI_APTS,,
5,ARMD-CBL-95,CBL-ARM95,385.2,750.0,288900.0,49113.0,338013.0,purchase_bills\SATTI_APTS_Bill_15_BILL_16_005.xlsx,purchase_bills,SATTI_APTS,,
6,PLY_MR_12MM,12mm MR Plywood Sheet,,2123.0,1032203.0,,1032203.0,purchase_bills\SATTI_APTS_Bill_15_BILL_16_005.xlsx,purchase_bills,SATTI_APTS,,
7,COMMODE STANDARD,Commode Standard,105,13108.0,1376340.0,233977.8,1610317.8,purchase_bills\SATTI_APTS_Bill_15_BILL_16_005.xlsx,purchase_bills,SATTI_APTS,,
8,"G.I.PIPE 2""","2"" GI Pipe",194.9,293.0,57105.7,9707.97,66813.67,purchase_bills\SATTI_APTS_Bill_15_BILL_16_005.xlsx,purchase_bills,SATTI_APTS,,
9,READY MIX M20,Ready Mix M20,71.6,447.0,32005.2,5440.88,37446.08,purchase_bills\SATTI_APTS_Bill_15_BILL_16_005.xlsx,purchase_bills,SATTI_APTS,,
10,WIR-CP7,CopWire7,32.6,88.0,2868.8,487.7,3356.0,purchase_bills\SATTI_APTS_Bill_15_BILL_16_005.xlsx,purchase_bills,SATTI_APTS,,
,,,,,9911997.19,,,purchase_bills\SATTI_APTS_Bill_15_BILL_16_005.xlsx,purchase_bills,SATTI_APTS,,
,,,,,,,,purchase_bills\SATTI_APTS_Bill_15_BILL_16_005.xlsx,purchase_bills,SATTI_APTS,,
Prepared by:,TARIQ,,,,,,,purchase_bills\SATTI_APTS_Bill_15_BILL_16_005.xlsx,purchase_bills,SATTI_APTS,,
Invoice #,BILL-18-350,Vendor:,Fazal Bricks & Tiles,,,,,purchase_bills\SATTI_APTS_Bill_16_BILL-18-350.xlsx,purchase_bills,SATTI_APTS,,
Project,SATTI_APTS,Date:,2015/09/16,,,,,purchase_bills\SATTI_APTS_Bill_16_BILL-18-350.xlsx,purchase_bills,SATTI_APTS,,
1,ALUM WINDOW 4FT,al_window_4,406.7,15228.0,6193227.6,1052848.69,7246076.29,purchase_bills\SATTI_APTS_Bill_16_BILL-18-350.xlsx,purchase_bills,SATTI_APTS,,
2,RED BRICK A-GRADE,BRK-A,147.2,12100.0,1781120.0,,1781120.0,purchase_bills\SATTI_APTS_Bill_16_BILL-18-350.xlsx,purchase_bills,SATTI_APTS,,
3,PIP-GI-1,gi_pipe_1inch,171.7,157.0,26956.9,,26956.9,purchase_bills\SATTI_APTS_Bill_16_BILL-18-350.xlsx,purchase_bills,SATTI_APTS,,
4,PLYWD-12,Plywood 12mm MR,333.4,2077.0,692471.8,117720.21,810192.01,purchase_bills\SATTI_APTS_Bill_16_BILL-18-350.xlsx,purchase_bills,SATTI_APTS,,
,,,,,9864345.2,,,purchase_bills\SATTI_APTS_Bill_16_BILL-18-350.xlsx,purchase_bills,SATTI_APTS,,
,,,,,,,,purchase_bills\SATTI_APTS_Bill_16_BILL-18-350.xlsx,purchase_bills,SATTI_APTS,,
Prepared by:,,,,,,,,purchase_bills\SATTI_APTS_Bill_16_BILL-18-350.xlsx,purchase_bills,SATTI_APTS,,
BILL11677   Pioneer Generators Ltd   13/10/17,,,,,,,,purchase_bills\SATTI_APTS_Bill_17_BILL11677.xlsx,purchase_bills,SATTI_APTS,,
1,WIR-CP3,WIR-CP3,,60.0,1122.0,,,purchase_bills\SATTI_APTS_Bill_17_BILL11677.xlsx,purchase_bills,SATTI_APTS,18.7,
2,SND-RV,SND-RV,,30.0,4200.0,,,purchase_bills\SATTI_APTS_Bill_17_BILL11677.xlsx,purchase_bills,SATTI_APTS,140,
3,WIRE_7029,Copper Wire 7/.029,,82.0,32160.0,,,purchase_bills\SATTI_APTS_Bill_17_BILL11677.xlsx,purchase_bills,SATTI_APTS,392.2,
4,GI PIPE 2IN,GalvPipe-2,,272.0,89868.8,,,purchase_bills\SATTI_APTS_Bill_17_BILL11677.xlsx,purchase_bills,SATTI_APTS,330.4,
5,TIL-CER-12,floor_tile_12,,87.0,29041.0,,,purchase_bills\SATTI_APTS_Bill_17_BILL11677.xlsx,purchase_bills,SATTI_APTS,333.8,
6,BRICK-CLA,BRICK-CLA,,14996.0,6253332.0,,,purchase_bills\SATTI_APTS_Bill_17_BILL11677.xlsx,purchase_bills,SATTI_APTS,417,
7,STL-RB16,REBAR-16MM,,130.0,28925.0,,,purchase_bills\SATTI_APTS_Bill_17_BILL11677.xlsx,purchase_bills,SATTI_APTS,222.5,
,,,,,6443756.79,,,purchase_bills\SATTI_APTS_Bill_17_BILL11677.xlsx,purchase_bills,SATTI_APTS,,
,,,,,,,,purchase_bills\SATTI_APTS_Bill_17_BILL11677.xlsx,purchase_bills,SATTI_APTS,,
Prepared by:,TARIQ,,,,,,,purchase_bills\SATTI_APTS_Bill_17_BILL11677.xlsx,purchase_bills,SATTI_APTS,,
BILL/13/487   Karachi Sanitary Depot   23.03.2017,,,,,,,,purchase_bills\SATTI_APTS_Bill_18_BILL_13_487.xlsx,purchase_bills,SATTI_APTS,,
1,COPPER WIRE 3/.029,wire_3029,162,60.0,9720.0,,9720.0,purchase_bills\SATTI_APTS_Bill_18_BILL_13_487.xlsx,purchase_bills,SATTI_APTS,,
2,CEM_OPC_50,Cement Bag 50Kg,463.6,902.0,,71088.42,489256.0,purchase_bills\SATTI_APTS_Bill_18_BILL_13_487.xlsx,purchase_bills,SATTI_APTS,,
3,GALVPIPE-2,gi_pipe_2inch,370/-,306.0,113281.2,19257.8,132539.0,purchase_bills\SATTI_APTS_Bill_18_BILL_13_487.xlsx,purchase_bills,SATTI_APTS,,
4,RMC_M20,RMC-M20,160.3,367.0,58830.1,10001.12,68831.22,purchase_bills\SATTI_APTS_Bill_18_BILL_13_487.xlsx,purchase_bills,SATTI_APTS,,
5,GI PIPE 1IN,"G.I.Pipe 1""",241.8,193.0,46667.4,,54600.86,purchase_bills\SATTI_APTS_Bill_18_BILL_13_487.xlsx,purchase_bills,SATTI_APTS,,
6,COMMODE STANDARD,toilet_std,116.1,14180.0,1646298.0,,1646298.0,purchase_bills\SATTI_APTS_Bill_18_BILL_13_487.xlsx,purchase_bills,SATTI_APTS,,
7,MARBLE WHT,MRB-IMP,29.6,704.0,,,20838.4,purchase_bills\SATTI_APTS_Bill_18_BILL_13_487.xlsx,purchase_bills,SATTI_APTS,,
,,,,,2422083.1,,,purchase_bills\SATTI_APTS_Bill_18_BILL_13_487.xlsx,purchase_bills,SATTI_APTS,,
,,,,,,,,purchase_bills\SATTI_APTS_Bill_18_BILL_13_487.xlsx,purchase_bills,SATTI_APTS,,
Prepared by:,NASIR,,,,,,,purchase_bills\SATTI_APTS_Bill_18_BILL_13_487.xlsx,purchase_bills,SATTI_APTS,,
BILL-11-731   Tariq & Sons Electricals   2016/03/25,,,,,,,,purchase_bills\SATTI_APTS_Bill_19_BILL-11-731.xlsx,purchase_bills,SATTI_APTS,,
1,CEM_OPC_50,Cement Bag 50Kg,,881.0,325441.4,,,purchase_bills\SATTI_APTS_Bill_19_BILL-11-731.xlsx,purchase_bills,SATTI_APTS,369/-,
2,STEEL BAR 12,S.Bar 12mm,,134.0,64829.2,,,purchase_bills\SATTI_APTS_Bill_19_BILL-11-731.xlsx,purchase_bills,SATTI_APTS,PKR 484,
3,ALUM WINDOW 4FT,"A.Win 4""",,16536.0,3118689.6,,,purchase_bills\SATTI_APTS_Bill_19_BILL-11-731.xlsx,purchase_bills,SATTI_APTS,188.6,
4,BAJRI 3/4,AGG-CRS34,,58.0,2865.2,,,purchase_bills\SATTI_APTS_Bill_19_BILL-11-731.xlsx,purchase_bills,SATTI_APTS,49.4,
5,PLYWD-12,ply_mr_12mm,,2154.0,395259.0,,,purchase_bills\SATTI_APTS_Bill_19_BILL-11-731.xlsx,purchase_bills,SATTI_APTS,183.5,
6,WHITE OIL PAINT 4L,PAI-OIL,,2067.0,333200.4,,,purchase_bills\SATTI_APTS_Bill_19_BILL-11-731.xlsx,purchase_bills,SATTI_APTS,,
7,PIP-GI-1,PIP-GI1,,165.0,12969.0,,,purchase_bills\SATTI_APTS_Bill_19_BILL-11-731.xlsx,purchase_bills,SATTI_APTS,78.6,
8,ARMOURED CABLE 95,95mm² Armoured Cable,,975.0,218010.0,,,purchase_bills\SATTI_APTS_Bill_19_BILL-11-731.xlsx,purchase_bills,SATTI_APTS,223.6,
9,BRICK-CLA,Class-A Red Brick,,13093.0,1385239.4,,,purchase_bills\SATTI_APTS_Bill_19_BILL-11-731.xlsx,purchase_bills,SATTI_APTS,105.8,
10,SAN-WC,toilet_std,,10640.0,5309360.0,,,purchase_bills\SATTI_APTS_Bill_19_BILL-11-731.xlsx,purchase_bills,SATTI_APTS,TBD,
,,,,,11791119.0,,,purchase_bills\SATTI_APTS_Bill_19_BILL-11-731.xlsx,purchase_bills,SATTI_APTS,,
,,,,,,,,purchase_bills\SATTI_APTS_Bill_19_BILL-11-731.xlsx,purchase_bills,SATTI_APTS,,
Prepared by:,ASIF,,,,,,,purchase_bills\SATTI_APTS_Bill_19_BILL-11-731.xlsx,purchase_bills,SATTI_APTS,,
Bill No: BILL 18 697,,Date: 16/05/17,,,,,,purchase_bills\SATTI_APTS_Bill_20_BILL 18 697.xlsx,purchase_bills,SATTI_APTS,,
Vendor: Al-Rehman Hardware,PROJECT: SATTI_APTS,,,,,,,purchase_bills\SATTI_APTS_Bill_20_BILL 18 697.xlsx,purchase_bills,SATTI_APTS,,
PO Ref: PO-PLZ-9772,,,,,,,,purchase_bills\SATTI_APTS_Bill_20_BILL 18 697.xlsx,purchase_bills,SATTI_APTS,,
1,STL-RB16,rebar 5/8 inch,49.1,155.0,7610.5,1293.79,8904.29,purchase_bills\SATTI_APTS_Bill_20_BILL 18 697.xlsx,purchase_bills,SATTI_APTS,,
2,CEMENT BAG 50KG,cem_opc_50,404.1,896.0,362073.6,,362073.6,purchase_bills\SATTI_APTS_Bill_20_BILL 18 697.xlsx,purchase_bills,SATTI_APTS,,
3,ARMOURED CABLE 95,Armoured Cable 95,137.9,876.0,,20536.07,141336.0,purchase_bills\SATTI_APTS_Bill_20_BILL 18 697.xlsx,purchase_bills,SATTI_APTS,,
4,"CER.TILE 12""","Tile 12x12""",116,90.0,10440.0,1774.8,12214.8,purchase_bills\SATTI_APTS_Bill_20_BILL 18 697.xlsx,purchase_bills,SATTI_APTS,,
5,WHITE MARBLE IMP.,MAR-W-IMP,78.6,604.0,47474.4,,47474.0,purchase_bills\SATTI_APTS_Bill_20_BILL 18 697.xlsx,purchase_bills,SATTI_APTS,,
6,PIP-GI-1,gi_pipe_1inch,58.3,176.0,10260.8,1744.34,12005.0,purchase_bills\SATTI_APTS_Bill_20_BILL 18 697.xlsx,purchase_bills,SATTI_APTS,,
7,AGG-CRS-34,"C.Agg 3/4""",332.5,50.0,16625.0,2826.25,19451.25,purchase_bills\SATTI_APTS_Bill_20_BILL 18 697.xlsx,purchase_bills,SATTI_APTS,,
8,"A.WIN 4""",Alum Window 4ft,313.8,,,,4229396.4,purchase_bills\SATTI_APTS_Bill_20_BILL 18 697.xlsx,purchase_bills,SATTI_APTS,,
,,,,,4832856.35,,,purchase_bills\SATTI_APTS_Bill_20_BILL 18 697.xlsx,purchase_bills,SATTI_APTS,,
,,,,,,,,purchase_bills\SATTI_APTS_Bill_20_BILL 18 697.xlsx,purchase_bills,SATTI_APTS,,
Prepared by:,NASIR,,,,,,,purchase_bills\SATTI_APTS_Bill_20_BILL 18 697.xlsx,purchase_bills,SATTI_APTS,,
Invoice #,BILL-06-405,Vendor:,,,,,,purchase_bills\SATTI_APTS_Bill_21_BILL-06-405.xlsx,purchase_bills,SATTI_APTS,Al-Rehman Hardware,
Project,SATTI_APTS,Date:,,,,,,purchase_bills\SATTI_APTS_Bill_21_BILL-06-405.xlsx,purchase_bills,SATTI_APTS,"March 28, 2015",
1,S.BAR 12MM,Steel Bar 12,,122.0,,,,purchase_bills\SATTI_APTS_Bill_21_BILL-06-405.xlsx,purchase_bills,SATTI_APTS,99.5,
2,GALVPIPE-1,"G.I.Pipe 1""",,178.0,85813.8,,,purchase_bills\SATTI_APTS_Bill_21_BILL-06-405.xlsx,purchase_bills,SATTI_APTS,482.1,
3,ALM-WIN-4,ALU-WIN4,,15067.0,134096.3,,,purchase_bills\SATTI_APTS_Bill_21_BILL-06-405.xlsx,purchase_bills,SATTI_APTS,8.9,
4,COARSE AGG,GRAVEL-3/4,,53.0,1234.9,,,purchase_bills\SATTI_APTS_Bill_21_BILL-06-405.xlsx,purchase_bills,SATTI_APTS,23.3,
5,PIP-GI2,GalvPipe-2,,265.0,9275.0,,,purchase_bills\SATTI_APTS_Bill_21_BILL-06-405.xlsx,purchase_bills,SATTI_APTS,35,
6,MRB-IMP-W,White Marble Imp.,,,222372.0,,,purchase_bills\SATTI_APTS_Bill_21_BILL-06-405.xlsx,purchase_bills,SATTI_APTS,313.2,
,,,,,506584.55,,,purchase_bills\SATTI_APTS_Bill_21_BILL-06-405.xlsx,purchase_bills,SATTI_APTS,,
,,,,,,,,purchase_bills\SATTI_APTS_Bill_21_BILL-06-405.xlsx,purchase_bills,SATTI_APTS,,
Prepared by:,KAMRAN,,,,,,,purchase_bills\SATTI_APTS_Bill_21_BILL-06-405.xlsx,purchase_bills,SATTI_APTS,,
"BILL 17 874   Pioneer Generators Ltd   October 15, 2017",,,,,,,,purchase_bills\SATTI_APTS_Bill_22_BILL 17 874.xlsx,purchase_bills,SATTI_APTS,,
1,SAN-WC,toilet_std,,,302611.9,,,purchase_bills\SATTI_APTS_Bill_22_BILL 17 874.xlsx,purchase_bills,SATTI_APTS,28.3,
2,ALM-WIN-4,4ft Aluminum Window,,12821.0,2207776.2,,,purchase_bills\SATTI_APTS_Bill_22_BILL 17 874.xlsx,purchase_bills,SATTI_APTS,172.2,
3,WIR-COP-3,CopWire3,,49.0,6732.6,,,purchase_bills\SATTI_APTS_Bill_22_BILL 17 874.xlsx,purchase_bills,SATTI_APTS,137.4,
4,"G.I.PIPE 2""","G.I.Pipe 2""",,334.0,160821.0,,,purchase_bills\SATTI_APTS_Bill_22_BILL 17 874.xlsx,purchase_bills,SATTI_APTS,481.5,
,,,,,3053263.65,,,purchase_bills\SATTI_APTS_Bill_22_BILL 17 874.xlsx,purchase_bills,SATTI_APTS,,
,,,,,,,,purchase_bills\SATTI_APTS_Bill_22_BILL 17 874.xlsx,purchase_bills,SATTI_APTS,,
Prepared by:,ASIF,,,,,,,purchase_bills\SATTI_APTS_Bill_22_BILL 17 874.xlsx,purchase_bills,SATTI_APTS,,
BILL/18/121   Pioneer Generators Ltd   24-Apr-2016,,,,,,,,purchase_bills\SATTI_APTS_Bill_23_BILL_18_121.xlsx,purchase_bills,SATTI_APTS,,
1,WHITE OIL PAINT 4L,White Oil Paint 4L,,2044.0,918778.0,,,purchase_bills\SATTI_APTS_Bill_23_BILL_18_121.xlsx,purchase_bills,SATTI_APTS,449.5,
2,GALVPIPE-2,gi_pipe_2inch,,,127939.0,,,purchase_bills\SATTI_APTS_Bill_23_BILL_18_121.xlsx,purchase_bills,SATTI_APTS,472.1,
3,"C.AGG 3/4""","C.Agg 3/4""",,56.0,4463.2,,,purchase_bills\SATTI_APTS_Bill_23_BILL_18_121.xlsx,purchase_bills,SATTI_APTS,79.7,
4,25KVA GENSET,25KVA Genset,,1007225.0,446704287.5,,,purchase_bills\SATTI_APTS_Bill_23_BILL_18_121.xlsx,purchase_bills,SATTI_APTS,443.5,
5,TOILET_STD,toilet_std,,13251.0,6103410.6,,,purchase_bills\SATTI_APTS_Bill_23_BILL_18_121.xlsx,purchase_bills,SATTI_APTS,460.6,
6,"TILE 12X12""",TILE-12X12,,92.0,40885.0,,,purchase_bills\SATTI_APTS_Bill_23_BILL_18_121.xlsx,purchase_bills,SATTI_APTS,TBD,
7,BRICKS_A,bricks_a,,12429.0,4614887.7,,,purchase_bills\SATTI_APTS_Bill_23_BILL_18_121.xlsx,purchase_bills,SATTI_APTS,371.3,
8,CEM_OPC_50,CEM-OPC50,,1061.0,17612.6,,,purchase_bills\SATTI_APTS_Bill_23_BILL_18_121.xlsx,purchase_bills,SATTI_APTS,16.6,
9,GI_PIPE_1INCH,"1"" GI Pipe",,198.0,72725.4,,,purchase_bills\SATTI_APTS_Bill_23_BILL_18_121.xlsx,purchase_bills,SATTI_APTS,367.3,
,,,,,459842818.49,,,purchase_bills\SATTI_APTS_Bill_23_BILL_18_121.xlsx,purchase_bills,SATTI_APTS,,
,,,,,,,,purchase_bills\SATTI_APTS_Bill_23_BILL_18_121.xlsx,purchase_bills,SATTI_APTS,,
Prepared by:,ASIF,,,,,,,purchase_bills\SATTI_APTS_Bill_23_BILL_18_121.xlsx,purchase_bills,SATTI_APTS,,
BILL13242   Hafiz Glass & Aluminum   06-04-2018,,,,,,,,purchase_bills\SATTI_APTS_Bill_24_BILL13242.xlsx,purchase_bills,SATTI_APTS,,
1,WHITE MARBLE IMP.,Marble Wht,465.9,678.0,315880.2,,315880.2,purchase_bills\SATTI_APTS_Bill_24_BILL13242.xlsx,purchase_bills,SATTI_APTS,,
2,AC-95SQ,arm_cable_95,432.3,753.0,325521.9,55338.72,380860.62,purchase_bills\SATTI_APTS_Bill_24_BILL13242.xlsx,purchase_bills,SATTI_APTS,,
3,25KVA GENSET,25 KVA Generator,,970453.0,62885354.4,10690510.25,73575864.65,purchase_bills\SATTI_APTS_Bill_24_BILL13242.xlsx,purchase_bills,SATTI_APTS,,
4,TIL-CER12,floor_tile_12,213.8,,20524.8,3489.0,24014.02,purchase_bills\SATTI_APTS_Bill_24_BILL13242.xlsx,purchase_bills,SATTI_APTS,,
5,WIR-COP-7,Copper Wire 7/.029,243.2,90.0,21888.0,3720.96,25608.96,purchase_bills\SATTI_APTS_Bill_24_BILL13242.xlsx,purchase_bills,SATTI_APTS,,
6,WIRE_3029,Copper Wire 3/.029,382,58.0,22156.0,3766.52,25922.52,purchase_bills\SATTI_APTS_Bill_24_BILL13242.xlsx,purchase_bills,SATTI_APTS,,
7,GI PIPE 2IN,gi_pipe_2inch,27.7,326.0,,1535.0,10565.33,purchase_bills\SATTI_APTS_Bill_24_BILL13242.xlsx,purchase_bills,SATTI_APTS,,
8,PLYWD-12,MR Ply 12,324.4,2295.0,744498.0,126564.66,871062.66,purchase_bills\SATTI_APTS_Bill_24_BILL13242.xlsx,purchase_bills,SATTI_APTS,,
9,GI_PIPE_1INCH,"1"" GI Pipe",PKR 64,204.0,13158.0,2236.86,15394.86,purchase_bills\SATTI_APTS_Bill_24_BILL13242.xlsx,purchase_bills,SATTI_APTS,,
,,,,,75245173.82,,,purchase_bills\SATTI_APTS_Bill_24_BILL13242.xlsx,purchase_bills,SATTI_APTS,,
,,,,,,,,purchase_bills\SATTI_APTS_Bill_24_BILL13242.xlsx,purchase_bills,SATTI_APTS,,
Prepared by:,TARIQ,,,,,,,purchase_bills\SATTI_APTS_Bill_24_BILL13242.xlsx,purchase_bills,SATTI_APTS,,
Bill No: BILL17047,,Date: 2015/04/17,,,,,,purchase_bills\SATTI_APTS_Bill_25_BILL17047.xlsx,purchase_bills,SATTI_APTS,,
Vendor: Siemens Pakistan (Electro),PROJECT: SATTI_APTS,,,,,,,purchase_bills\SATTI_APTS_Bill_25_BILL17047.xlsx,purchase_bills,SATTI_APTS,,
PO Ref: PO-PLZ-7260,,,,,,,,purchase_bills\SATTI_APTS_Bill_25_BILL17047.xlsx,purchase_bills,SATTI_APTS,,
1,GI PIPE 2IN,"2"" GI Pipe",PKR 163,315.0,51219.0,8707.0,59926.23,purchase_bills\SATTI_APTS_Bill_25_BILL17047.xlsx,purchase_bills,SATTI_APTS,,
2,MRB-IMP-W,MRB-IMP,382.7,711.0,272099.7,46256.95,318356.65,purchase_bills\SATTI_APTS_Bill_25_BILL17047.xlsx,purchase_bills,SATTI_APTS,,
3,M20 CONCRETE,CNC-M20,392.1,425.0,166642.0,28329.23,194971.73,purchase_bills\SATTI_APTS_Bill_25_BILL17047.xlsx,purchase_bills,SATTI_APTS,,
4,ALM-W4,4ft Aluminum Window,34.8,16335.0,568458.0,96637.86,665095.86,purchase_bills\SATTI_APTS_Bill_25_BILL17047.xlsx,purchase_bills,SATTI_APTS,,
5,TILE-12X12,Ceramic Floor Tile 12x12,85/-,86.0,7301.4,1241.24,8542.64,purchase_bills\SATTI_APTS_Bill_25_BILL17047.xlsx,purchase_bills,SATTI_APTS,,
6,STL-RB16,Steel Bar 16,254.9,153.0,38999.7,,38999.7,purchase_bills\SATTI_APTS_Bill_25_BILL17047.xlsx,purchase_bills,SATTI_APTS,,
,,,,,1285892.81,,,purchase_bills\SATTI_APTS_Bill_25_BILL17047.xlsx,purchase_bills,SATTI_APTS,,
,,,,,,,,purchase_bills\SATTI_APTS_Bill_25_BILL17047.xlsx,purchase_bills,SATTI_APTS,,
Prepared by:,TARIQ,,,,,,,purchase_bills\SATTI_APTS_Bill_25_BILL17047.xlsx,purchase_bills,SATTI_APTS,,
BILL 11 585   Fazal Bricks & Tiles   08-Nov-2006,,,,,,,,purchase_bills\SATTI_MALL_Bill_01_BILL 11 585.xlsx,purchase_bills,SATTI_MALL,,
1,SHEESHA 6MM,Clear Glass 6,23.3,200.0,4660.0,,4660.0,purchase_bills\SATTI_MALL_Bill_01_BILL 11 585.xlsx,purchase_bills,SATTI_MALL,,
2,ALUM WINDOW 4FT,ALU-WIN4,23.1,15139.0,349710.9,59450.85,409161.75,purchase_bills\SATTI_MALL_Bill_01_BILL 11 585.xlsx,purchase_bills,SATTI_MALL,,
3,RETI (RIVER),Sand (Fine),TBD,40.0,8908.0,1514.36,10422.36,purchase_bills\SATTI_MALL_Bill_01_BILL 11 585.xlsx,purchase_bills,SATTI_MALL,,
4,BAJRI 3/4,Coarse Aggregate 3/4 inch,218.2,63.0,13746.6,2336.92,16083.52,purchase_bills\SATTI_MALL_Bill_01_BILL 11 585.xlsx,purchase_bills,SATTI_MALL,,
5,CEM-OPC50,cem_opc_50,224.7,935.0,210094.5,,210094.5,purchase_bills\SATTI_MALL_Bill_01_BILL 11 585.xlsx,purchase_bills,SATTI_MALL,,
,,,,,650422.0,,,purchase_bills\SATTI_MALL_Bill_01_BILL 11 585.xlsx,purchase_bills,SATTI_MALL,,
,,,,,,,,purchase_bills\SATTI_MALL_Bill_01_BILL 11 585.xlsx,purchase_bills,SATTI_MALL,,
Prepared by:,TARIQ,,,,,,,purchase_bills\SATTI_MALL_Bill_01_BILL 11 585.xlsx,purchase_bills,SATTI_MALL,,
Invoice #,BILL06130,Vendor:,Al-Rehman Hardware,,,,,purchase_bills\SATTI_MALL_Bill_02_BILL06130.xlsx,purchase_bills,SATTI_MALL,,
Project,SATTI_MALL,Date:,2006/12/28,,,,,purchase_bills\SATTI_MALL_Bill_02_BILL06130.xlsx,purchase_bills,SATTI_MALL,,
1,"A.WIN 4""",Alum Window 4ft,498.6,15851.0,7903308.6,,7903308.6,purchase_bills\SATTI_MALL_Bill_02_BILL06130.xlsx,purchase_bills,SATTI_MALL,,
2,PIP-GI1,GalvPipe-1,356.2,191.0,68034.2,11565.81,79600.01,purchase_bills\SATTI_MALL_Bill_02_BILL06130.xlsx,purchase_bills,SATTI_MALL,,
3,BRICK-CLA,Red Brick A-Grade,288.3,13863.0,3996703.0,,3996702.9,purchase_bills\SATTI_MALL_Bill_02_BILL06130.xlsx,purchase_bills,SATTI_MALL,,
4,BAJRI 3/4,Bajri 3/4,412.6,48.0,19804.8,,19804.8,purchase_bills\SATTI_MALL_Bill_02_BILL06130.xlsx,purchase_bills,SATTI_MALL,,
5,CEM_OPC_50,OPC 50 KG,95.1,1083.0,102993.3,,,purchase_bills\SATTI_MALL_Bill_02_BILL06130.xlsx,purchase_bills,SATTI_MALL,,
6,GALVPIPE-2,PIP-GI2,176.3,351.0,61881.3,,61881.3,purchase_bills\SATTI_MALL_Bill_02_BILL06130.xlsx,purchase_bills,SATTI_MALL,,
7,M20 CONCRETE,M20 Ready Mix Concrete,,378.0,95936.4,,95936.4,purchase_bills\SATTI_MALL_Bill_02_BILL06130.xlsx,purchase_bills,SATTI_MALL,,
,,,,,12277736.17,,,purchase_bills\SATTI_MALL_Bill_02_BILL06130.xlsx,purchase_bills,SATTI_MALL,,
,,,,,,,,purchase_bills\SATTI_MALL_Bill_02_BILL06130.xlsx,purchase_bills,SATTI_MALL,,
Prepared by:,ASIF,,,,,,,purchase_bills\SATTI_MALL_Bill_02_BILL06130.xlsx,purchase_bills,SATTI_MALL,,
Bill No: BILL/06/147,,Date: 01-13-2008,,,,,,purchase_bills\SATTI_MALL_Bill_02_BILL_06_147.xlsx,purchase_bills,SATTI_MALL,,
Vendor: Pioneer Generators Ltd,PROJECT: SATTI_MALL,,,,,,,purchase_bills\SATTI_MALL_Bill_02_BILL_06_147.xlsx,purchase_bills,SATTI_MALL,,
PO Ref: PO-APT-7279,,,,,,,,purchase_bills\SATTI_MALL_Bill_02_BILL_06_147.xlsx,purchase_bills,SATTI_MALL,,
1,CNC-RDY-M20,Ready Mix M20,90.5,447.0,40453.5,,40453.5,purchase_bills\SATTI_MALL_Bill_02_BILL_06_147.xlsx,purchase_bills,SATTI_MALL,,
2,COPWIRE3,CopWire3,148.7,52.0,,1314.51,9046.91,purchase_bills\SATTI_MALL_Bill_02_BILL_06_147.xlsx,purchase_bills,SATTI_MALL,,
3,ALM-W4,ALM-W4,396.2,12439.0,4928331.8,837816.41,5766148.0,purchase_bills\SATTI_MALL_Bill_02_BILL_06_147.xlsx,purchase_bills,SATTI_MALL,,
4,GALVPIPE-1,GalvPipe-1,241.9,175.0,42332.5,7197.0,49529.03,purchase_bills\SATTI_MALL_Bill_02_BILL_06_147.xlsx,purchase_bills,SATTI_MALL,,
5,BRK-A,Red Brick A-Grade,321.7,12664.0,4074009.0,,4074008.8,purchase_bills\SATTI_MALL_Bill_02_BILL_06_147.xlsx,purchase_bills,SATTI_MALL,,
6,CEM-OPC50,CEM-OPC50,164.7,1010.0,166347.0,28278.99,194625.99,purchase_bills\SATTI_MALL_Bill_02_BILL_06_147.xlsx,purchase_bills,SATTI_MALL,,
,,,,,10133812.44,,,purchase_bills\SATTI_MALL_Bill_02_BILL_06_147.xlsx,purchase_bills,SATTI_MALL,,
,,,,,,,,purchase_bills\SATTI_MALL_Bill_02_BILL_06_147.xlsx,purchase_bills,SATTI_MALL,,
Prepared by:,,,,,,,,purchase_bills\SATTI_MALL_Bill_02_BILL_06_147.xlsx,purchase_bills,SATTI_MALL,,
Bill No: BILL-16-657,,"Date: December 28, 2007",,,,,,purchase_bills\SATTI_MALL_Bill_03_BILL-16-657.xlsx,purchase_bills,SATTI_MALL,,
