date,description,debit,credit,balance,ref_no,_source_file,_folder,_project
2012-06-30,Advance,,795006.63,-9729886.3,REF43513,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2012-07-03,Advance,,743062.79,-8986823.51,REF14326,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2012-07-06,Security Deposit,1550775.54,,-10537599.0,REF77494,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2012-08-16,Running Bill,,544254.13,-9993344.92,REF36228,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2012-08-20,Security Deposit,,1187515.83,-8805829.09,REF37517,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2012-09-25,Salary,,816981.08,-7988848.01,REF43799,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2012-10-13,Utility Bill,710549.85,,-8699397.86,REF38719,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2012-10-14,Contractor Bill,674700.17,,-9374098.03,REF71805,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2012-11-06,DD Issued,,1429047.37,-7945050.66,REF37212,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2013-02-09,Material Purchase,,,-7535427.15,REF35775,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2013-03-03,DD Issued,,1075274.9,-6460152.25,REF20812,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2013-04-15,Material Purchase,,1781813.11,-4678339.14,REF78650,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2013-12-06,Cheque Clearance,,743997.35,-3934341.79,REF12170,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2014-02-11,Material Purchase,,772939.01,-3161402.78,REF22564,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2014-02-16,Online Transfer,,,-2082183.43,REF52363,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2014-03-25,Transfer,1647991.54,,-3730174.97,REF44481,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2014-08-26,Vendor Payment,1984097.5,,-5714272.47,REF89585,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2015-02-14,Contractor Bill,,1344588.35,-4369684.12,REF22399,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2015-05-01,Running Bill,1163726.62,,-5533411.0,REF99777,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2015-08-04,Security Deposit,24354.98,,-5557765.72,REF14826,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2015-09-13,Cheque Clearance,1980943.52,,-7538709.24,REF85629,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2015-10-16,Security Deposit,285509.0,,-7824218.71,REF40292,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2016-05-10,Salary,294126.11,,-8118344.82,REF62486,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2016-05-22,Advance,,590617.82,-7527727.0,REF88181,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2016-08-10,Transfer,1126201.52,,-8653928.52,REF58234,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2016-08-15,Vendor Payment,1027581.84,,-9681510.0,REF96794,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2016-09-22,Ref PO-MALL-6328,,936017.92,-8745492.44,REF31986,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2016-09-24,Salary,1589664.22,,-10335156.66,REF69246,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2017-01-08,Vendor Payment,1959397.0,,-12294554.02,REF89063,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2017-01-26,Security Deposit,862151.99,,-13156706.01,REF30218,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2017-04-08,Ref PO-APT-9455,,,-14667860.16,REF56845,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2017-04-09,Utility Bill,,559506.9,-14108353.26,REF13042,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2017-07-03,Ref PO-PLZ-6092,1836995.86,,-15945349.12,REF74335,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2017-10-16,Material Purchase,,837515.33,-15107833.79,REF40645,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2018-04-07,Salary,,1764484.01,-13343350.0,REF53483,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2018-04-08,Cheque Clearance,1974744.86,,-15318094.64,REF68898,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2018-05-17,Advance,1844803.81,,-17162898.45,REF56499,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2018-06-02,DD Issued,,1016714.36,-16146184.09,REF17570,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2018-07-28,Petty Cash,1721286.96,,-17867471.05,REF89725,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2018-09-29,Running Bill,1860747.46,,-19728218.51,REF33174,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2018-10-28,Vendor Payment,205143.78,,-19933362.29,REF10669,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2018-12-01,Online Transfer,660904.84,,-20594267.0,REF49276,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
