row_no,item_code,description,unit,unit_2,nan,_source_file,_folder,_project,rate,remarks,valid_till,
1,REBAR 1/2 INCH,rebar 1/2 inch,kg,141,,vendor_price_lists\V011_Green_Marble_&_Granite_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,
2,COARSE AGG,Coarse Aggregate 3/4 inch,cft,59,,vendor_price_lists\V011_Green_Marble_&_Granite_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,subject to change
3,CNC-RDY-M20,M20 Ready Mix Concrete,cft,483,,vendor_price_lists\V011_Green_Marble_&_Granite_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,ex-works
4,OIL PAINT (WHITE) 4LTR,White Oil Paint 4L,tin,2016,,vendor_price_lists\V011_Green_Marble_&_Granite_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,
5,GALVPIPE-2,gi_pipe_2inch,rft,314,,vendor_price_lists\V011_Green_Marble_&_Granite_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,negotiable
6,COPWIRE3,Copper Wire 3/.029,mtr,48,,vendor_price_lists\V011_Green_Marble_&_Granite_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,bulk discount avail.
7,RIVER_SAND,Sand (Fine),cft,39,,vendor_price_lists\V011_Green_Marble_&_Granite_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,
8,ARMOURED CABLE 95,Armoured Cable 95,mtr,909,,vendor_price_lists\V011_Green_Marble_&_Granite_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,inclusive GST
9,CEM-OPC50,cem_opc_50,bag,"1,071/-",,vendor_price_lists\V011_Green_Marble_&_Granite_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,bulk discount avail.
10,MARBLE WHT,Marble Wht,sft,654.0,,vendor_price_lists\V011_Green_Marble_&_Granite_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,
11,TILE-12X12,"Tile 12x12""",sft,75,,vendor_price_lists\V011_Green_Marble_&_Granite_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,subject to change
12,GEN_25KVA,25 KVA Generator,nos,1083494,,vendor_price_lists\V011_Green_Marble_&_Granite_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,inclusive GST
13,PIP-GI1,GalvPipe-1,rft,179,,vendor_price_lists\V011_Green_Marble_&_Granite_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,inclusive GST
14,PLYWD-12,MR Ply 12,sht,2019,,vendor_price_lists\V011_Green_Marble_&_Granite_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,negotiable
15,6MM_GLASS,Sheesha 6mm,sft,PKR 229,,vendor_price_lists\V011_Green_Marble_&_Granite_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,subject to change
16,SAN-WC,WC-STD,nos,13260,,vendor_price_lists\V011_Green_Marble_&_Granite_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,inclusive GST
Karachi Sanitary Depot,,,,,,vendor_price_lists\V012_Karachi_Sanitary_Depot_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,
Contact: 03111112233   City: Karachi,,,,,,vendor_price_lists\V012_Karachi_Sanitary_Depot_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,
"Date: September 14, 2017",,,,,,vendor_price_lists\V012_Karachi_Sanitary_Depot_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,
1,WIR-CP7,CopWire7,mtr,,,vendor_price_lists\V012_Karachi_Sanitary_Depot_PriceList.xlsx,vendor_price_lists,SATTI_MALL,84.0,,inclusive GST,
2,SHEESHA 6MM,6mm_glass,sft,,,vendor_price_lists\V012_Karachi_Sanitary_Depot_PriceList.xlsx,vendor_price_lists,SATTI_MALL,207.0,,negotiable,
3,SAN-WC,SAN-WC,nos,,,vendor_price_lists\V012_Karachi_Sanitary_Depot_PriceList.xlsx,vendor_price_lists,SATTI_MALL,13491.0,,,
4,ALM-W4,ALM-W4,nos,,,vendor_price_lists\V012_Karachi_Sanitary_Depot_PriceList.xlsx,vendor_price_lists,SATTI_MALL,13979.0,,negotiable,
5,IMPORTED WHITE MARBLE,MAR-W-IMP,sft,,,vendor_price_lists\V012_Karachi_Sanitary_Depot_PriceList.xlsx,vendor_price_lists,SATTI_MALL,659.0,,ex-works,
6,GI PIPE 1IN,gi_pipe_1inch,rft,,,vendor_price_lists\V012_Karachi_Sanitary_Depot_PriceList.xlsx,vendor_price_lists,SATTI_MALL,176.0,,subject to change,
7,AGG-CRS-34,GRAVEL-3/4,cft,,,vendor_price_lists\V012_Karachi_Sanitary_Depot_PriceList.xlsx,vendor_price_lists,SATTI_MALL,50.0,,ex-works,
Hafiz Glass & Aluminum,,,,,,vendor_price_lists\V013_Hafiz_Glass_&_Aluminum_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,
Contact: 03211112233   City: Rawalpindi,,,,,,vendor_price_lists\V013_Hafiz_Glass_&_Aluminum_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,
Date: 18/10/14,,,,,,vendor_price_lists\V013_Hafiz_Glass_&_Aluminum_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,
1,COPPER WIRE 7/.029,Copper Wire 7/.029,mtr,,,vendor_price_lists\V013_Hafiz_Glass_&_Aluminum_PriceList.xlsx,vendor_price_lists,SATTI_MALL,102.0,ex-works,,
2,GALVPIPE-1,GalvPipe-1,rft,,,vendor_price_lists\V013_Hafiz_Glass_&_Aluminum_PriceList.xlsx,vendor_price_lists,SATTI_MALL,206.0,subject to change,,
3,RETI (RIVER),Reti (River),cft,,,vendor_price_lists\V013_Hafiz_Glass_&_Aluminum_PriceList.xlsx,vendor_price_lists,SATTI_MALL,36.0,negotiable,,
4,GRAVEL-3/4,Bajri 3/4,cft,,,vendor_price_lists\V013_Hafiz_Glass_&_Aluminum_PriceList.xlsx,vendor_price_lists,SATTI_MALL,54.0,bulk discount avail.,,
5,CEM-OPC-50,OPC 50 KG,bag,,,vendor_price_lists\V013_Hafiz_Glass_&_Aluminum_PriceList.xlsx,vendor_price_lists,SATTI_MALL,977.0,negotiable,,
6,ALM-WIN-4,Alum Window 4ft,nos,,,vendor_price_lists\V013_Hafiz_Glass_&_Aluminum_PriceList.xlsx,vendor_price_lists,SATTI_MALL,16279.0,,,
7,TIL-CER12,Ceramic Floor Tile 12x12,sft,,,vendor_price_lists\V013_Hafiz_Glass_&_Aluminum_PriceList.xlsx,vendor_price_lists,SATTI_MALL,84.0,bulk discount avail.,,
8,MR PLY 12,ply_mr_12mm,sht,,,vendor_price_lists\V013_Hafiz_Glass_&_Aluminum_PriceList.xlsx,vendor_price_lists,SATTI_MALL,1984.0,ex-works,,
Pioneer Generators Ltd,,,,,,vendor_price_lists\V014_Pioneer_Generators_Ltd_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,
Contact: 03311112233   City: Lahore,,,,,,vendor_price_lists\V014_Pioneer_Generators_Ltd_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,
Date: 24-Jul-2008,,,,,,vendor_price_lists\V014_Pioneer_Generators_Ltd_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,
1,MARBLE WHT,Imported White Marble,sft,641,,vendor_price_lists\V014_Pioneer_Generators_Ltd_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,bulk discount avail.
2,"C.AGG 3/4""","C.Agg 3/4""",cft,63,,vendor_price_lists\V014_Pioneer_Generators_Ltd_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,
3,OIL-PAINT-W,Oil Paint (White) 4Ltr,tin,TBD,,vendor_price_lists\V014_Pioneer_Generators_Ltd_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,
4,WIR-CP3,WIR-CP3,mtr,,,vendor_price_lists\V014_Pioneer_Generators_Ltd_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,inclusive GST
5,FLOOR_TILE_12,"Tile 12x12""",sft,PKR 95,,vendor_price_lists\V014_Pioneer_Generators_Ltd_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,inclusive GST
6,OPC 50 KG,Cement Bag 50Kg,bag,TBD,,vendor_price_lists\V014_Pioneer_Generators_Ltd_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,subject to change
7,GEN-25K,gen_25kva,nos,932237,,vendor_price_lists\V014_Pioneer_Generators_Ltd_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,subject to change
Allied Cables & Wires,,,,,,vendor_price_lists\V015_Allied_Cables_&_Wires_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,
Contact: 03411112233   City: Rawalpindi,,,,,,vendor_price_lists\V015_Allied_Cables_&_Wires_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,
Date: 24/05/11,,,,,,vendor_price_lists\V015_Allied_Cables_&_Wires_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,
1,RMC_M20,M20 Concrete,cft,,,vendor_price_lists\V015_Allied_Cables_&_Wires_PriceList.xlsx,vendor_price_lists,SATTI_MALL,464.0,,bulk discount avail.,
2,COARSE AGG,AGG-CRS34,cft,,,vendor_price_lists\V015_Allied_Cables_&_Wires_PriceList.xlsx,vendor_price_lists,SATTI_MALL,60.0,,,
3,WIR-COP-7,Copper Wire 7/.029,mtr,,,vendor_price_lists\V015_Allied_Cables_&_Wires_PriceList.xlsx,vendor_price_lists,SATTI_MALL,82.0,,,
4,STL-RB16,16mm Steel Rebar,kg,,,vendor_price_lists\V015_Allied_Cables_&_Wires_PriceList.xlsx,vendor_price_lists,SATTI_MALL,132.0,,subject to change,
5,ALM-W4,4ft Aluminum Window,nos,,,vendor_price_lists\V015_Allied_Cables_&_Wires_PriceList.xlsx,vendor_price_lists,SATTI_MALL,13573.0,,subject to change,
6,COMMODE STANDARD,Commode Standard,nos,,,vendor_price_lists\V015_Allied_Cables_&_Wires_PriceList.xlsx,vendor_price_lists,SATTI_MALL,12933.0,,,
7,RIVER_SAND,Sand (Fine),cft,,,vendor_price_lists\V015_Allied_Cables_&_Wires_PriceList.xlsx,vendor_price_lists,SATTI_MALL,36.0,,bulk discount avail.,
8,CBL-ARM95,CBL-ARM-95,mtr,,,vendor_price_lists\V015_Allied_Cables_&_Wires_PriceList.xlsx,vendor_price_lists,SATTI_MALL,830.0,,ex-works,
9,25KVA GENSET,Generator 25KVA,nos,,,vendor_price_lists\V015_Allied_Cables_&_Wires_PriceList.xlsx,vendor_price_lists,SATTI_MALL,960275.0,,negotiable,
