row_no,description,unit,rate,rate_2,rate_3,recommended,_source_file,_folder,_project,rate_4,rate_5
5,paint_oil_w,tin,1657.0,1784.0,1667.0,Metro Plumbing Supplies,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_01.xlsx,quotation_comparisons,SATTI_PLAZA,,
6,S.Bar 12mm,kg,140.0,124.0,143.0,Tariq & Sons Electricals,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_01.xlsx,quotation_comparisons,SATTI_PLAZA,,
7,GEN-25K,nos,1065449.0,1041742.0,1062295.0,Tariq & Sons Electricals,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_01.xlsx,quotation_comparisons,SATTI_PLAZA,,
8,"1"" GI Pipe",rft,190.0,160.0,200.0,Tariq & Sons Electricals,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_01.xlsx,quotation_comparisons,SATTI_PLAZA,,
9,OPC 50 KG,bag,889.0,1029.0,887.0,Bismillah Timber Mart,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_01.xlsx,quotation_comparisons,SATTI_PLAZA,,
10,rmc_m20,cft,388.0,,387.0,Bismillah Timber Mart,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_01.xlsx,quotation_comparisons,SATTI_PLAZA,,
11,Sand (Fine),cft,38.0,39.0,39.0,Metro Plumbing Supplies,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_01.xlsx,quotation_comparisons,SATTI_PLAZA,,
Prepared by:,PM,,,,,,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_01.xlsx,quotation_comparisons,SATTI_PLAZA,,
Approved by:,,,,,,,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_01.xlsx,quotation_comparisons,SATTI_PLAZA,,
Project: SATTI_PLAZA,,,,,,,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_02.xlsx,quotation_comparisons,SATTI_PLAZA,,
Date: 19-Nov-2013,,,,,,,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_02.xlsx,quotation_comparisons,SATTI_PLAZA,,
1,CEM-OPC50,bag,910.0,943.0,937.0,Green Marble & Granite,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_02.xlsx,quotation_comparisons,SATTI_PLAZA,935.0,
2,S.Bar 16mm,kg,153.0,133.0,158.0,Pak Steel Traders,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_02.xlsx,quotation_comparisons,SATTI_PLAZA,132.0,
3,WIR-CP3,mtr,56.0,53.0,55.0,Allied Cables & Wires,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_02.xlsx,quotation_comparisons,SATTI_PLAZA,,
4,S.Bar 12mm,kg,122.0,137.0,133.0,Green Marble & Granite,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_02.xlsx,quotation_comparisons,SATTI_PLAZA,125.0,
5,"G.I.Pipe 2""",rft,269.0,329.0,286.0,Green Marble & Granite,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_02.xlsx,quotation_comparisons,SATTI_PLAZA,312.0,
6,WIR-CP7,mtr,109.0,90.0,93.0,Allied Cables & Wires,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_02.xlsx,quotation_comparisons,SATTI_PLAZA,99.0,
Prepared by:,Asif,,,,,,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_02.xlsx,quotation_comparisons,SATTI_PLAZA,,
Approved by:,,,,,,,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_02.xlsx,quotation_comparisons,SATTI_PLAZA,,
Project: SATTI_PLAZA,,,,,,,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_03.xlsx,quotation_comparisons,SATTI_PLAZA,,
Date: 10-13-2013,,,,,,,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_03.xlsx,quotation_comparisons,SATTI_PLAZA,,
1,gi_pipe_1inch,rft,200.0,184.0,183.0,Super Steel & Iron Works,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_03.xlsx,quotation_comparisons,SATTI_PLAZA,197.0,154.0
2,Standard WC/Commode,nos,10990.0,12517.0,12186.0,,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_03.xlsx,quotation_comparisons,SATTI_PLAZA,11308.0,12457.0
3,OPC Cement 50kg Bag,bag,969.0,835.0,999.0,Hafiz Glass & Aluminum,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_03.xlsx,quotation_comparisons,SATTI_PLAZA,997.0,1011.0
4,"G.I.Pipe 2""",rft,347.0,325.0,326.0,Super Steel & Iron Works,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_03.xlsx,quotation_comparisons,SATTI_PLAZA,345.0,318.0
5,PLY-MR12,sht,2279.0,2001.0,2526.0,Bismillah Timber Mart,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_03.xlsx,quotation_comparisons,SATTI_PLAZA,1952.0,2360.0
6,WIR-CP3,mtr,59.0,51.0,53.0,Hafiz Glass & Aluminum,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_03.xlsx,quotation_comparisons,SATTI_PLAZA,55.0,51.0
7,OIL-PAINT-W,tin,1817.0,1556.0,1535.0,Al-Rehman Hardware,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_03.xlsx,quotation_comparisons,SATTI_PLAZA,1849.0,1669.0
8,"C.Agg 3/4""",cft,57.0,47.0,48.0,Hafiz Glass & Aluminum,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_03.xlsx,quotation_comparisons,SATTI_PLAZA,56.0,61.0
9,Alum Window 4ft,nos,14953.0,15233.0,15777.0,Green Marble & Granite,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_03.xlsx,quotation_comparisons,SATTI_PLAZA,15587.0,
10,Reti (River),cft,34.0,32.0,,Al-Rehman Hardware,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_03.xlsx,quotation_comparisons,SATTI_PLAZA,38.0,40.0
11,GLASS-6MM,sft,209.0,236.0,201.0,Super Steel & Iron Works,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_03.xlsx,quotation_comparisons,SATTI_PLAZA,218.0,193.0
Prepared by:,,,,,,,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_03.xlsx,quotation_comparisons,SATTI_PLAZA,,
Approved by:,,,,,,,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_03.xlsx,quotation_comparisons,SATTI_PLAZA,,
Project: SATTI_PLAZA,,,,,,,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_04.xlsx,quotation_comparisons,SATTI_PLAZA,,
Date: 02/07/12,,,,,,,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_04.xlsx,quotation_comparisons,SATTI_PLAZA,,
1,Standard WC/Commode,nos,13070.0,11169.0,13597.0,Fazal Bricks & Tiles,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_04.xlsx,quotation_comparisons,SATTI_PLAZA,13171.0,10837.0
2,cem_opc_50,bag,823.0,1067.0,866.0,Super Steel & Iron Works,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_04.xlsx,quotation_comparisons,SATTI_PLAZA,1026.0,863.0
3,Sand (Fine),cft,40.0,36.0,31.0,Hafiz Glass & Aluminum,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_04.xlsx,quotation_comparisons,SATTI_PLAZA,39.0,36.0
4,"Cer.Tile 12""",sft,84.0,81.0,87.0,Metro Plumbing Supplies,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_04.xlsx,quotation_comparisons,SATTI_PLAZA,84.0,90.0
5,Imported White Marble,sft,644.0,615.0,676.0,Siemens Pakistan (Electro),quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_04.xlsx,quotation_comparisons,SATTI_PLAZA,604.0,736.0
6,Bajri 3/4,cft,,60.0,49.0,Hafiz Glass & Aluminum,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_04.xlsx,quotation_comparisons,SATTI_PLAZA,59.0,51.0
7,WIR-CP3,mtr,59.0,,57.0,Fazal Bricks & Tiles,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_04.xlsx,quotation_comparisons,SATTI_PLAZA,59.0,54.0
8,OIL-PAINT-W,tin,,1649.0,2007.0,Fazal Bricks & Tiles,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_04.xlsx,quotation_comparisons,SATTI_PLAZA,1705.0,1544.0
9,ply_mr_12mm,sht,1970.0,2384.0,2272.0,Super Steel & Iron Works,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_04.xlsx,quotation_comparisons,SATTI_PLAZA,2025.0,2228.0
Prepared by:,Procurement Dept,,,,,,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_04.xlsx,quotation_comparisons,SATTI_PLAZA,,
Approved by:,,,,,,,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_04.xlsx,quotation_comparisons,SATTI_PLAZA,,
Project: SATTI_PLAZA,,,,,,,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_05.xlsx,quotation_comparisons,SATTI_PLAZA,,
"Date: May 07, 2013",,,,,,,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_05.xlsx,quotation_comparisons,SATTI_PLAZA,,
1,wire_3029,mtr,47.0,49.0,57.0,Allied Cables & Wires,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_05.xlsx,quotation_comparisons,SATTI_PLAZA,60.0,55.0
2,4ft Aluminum Window,nos,14884.0,15854.0,16478.0,Green Marble & Granite,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_05.xlsx,quotation_comparisons,SATTI_PLAZA,15936.0,13611.0
3,SND-RV,cft,33.0,33.0,,Green Marble & Granite,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_05.xlsx,quotation_comparisons,SATTI_PLAZA,35.0,31.0
4,SAN-WC,nos,12507.0,10903.0,11445.0,,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_05.xlsx,quotation_comparisons,SATTI_PLAZA,12685.0,11543.0
5,M20 Ready Mix Concrete,cft,433.0,471.0,417.0,Super Steel & Iron Works,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_05.xlsx,quotation_comparisons,SATTI_PLAZA,360.0,472.0
6,GENSET-25,nos,908790.0,936006.0,924262.0,Green Marble & Granite,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_05.xlsx,quotation_comparisons,SATTI_PLAZA,959300.0,897869.0
7,OIL-PAINT-W,tin,1792.0,1740.0,1862.0,Tariq & Sons Electricals,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_05.xlsx,quotation_comparisons,SATTI_PLAZA,1815.0,1965.0
8,GI PIPE 2IN,rft,347.0,306.0,338.0,Super Steel & Iron Works,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_05.xlsx,quotation_comparisons,SATTI_PLAZA,287.0,353.0
9,Bajri 3/4,cft,51.0,50.0,55.0,Green Marble & Granite,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_05.xlsx,quotation_comparisons,SATTI_PLAZA,51.0,48.0
10,"G.I.Pipe 1""",rft,173.0,157.0,187.0,Tariq & Sons Electricals,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_05.xlsx,quotation_comparisons,SATTI_PLAZA,194.0,178.0
11,6mm_glass,sft,243.0,235.0,190.0,Green Marble & Granite,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_05.xlsx,quotation_comparisons,SATTI_PLAZA,248.0,188.0
Prepared by:,Asif,,,,,,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_05.xlsx,quotation_comparisons,SATTI_PLAZA,,
Approved by:,,,,,,,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_05.xlsx,quotation_comparisons,SATTI_PLAZA,,
Project: SATTI_PLAZA,,,,,,,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_06.xlsx,quotation_comparisons,SATTI_PLAZA,,
Date: 15-Jul-2012,,,,,,,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_06.xlsx,quotation_comparisons,SATTI_PLAZA,,
1,ply_mr_12mm,sht,2228.0,,1993.0,Allied Cables & Wires,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_06.xlsx,quotation_comparisons,SATTI_PLAZA,2262.0,
2,White Marble Imp.,sft,734.0,674.0,691.0,Bismillah Timber Mart,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_06.xlsx,quotation_comparisons,SATTI_PLAZA,739.0,
3,CEM-OPC50,bag,821.0,937.0,1039.0,National Paint House,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_06.xlsx,quotation_comparisons,SATTI_PLAZA,1055.0,
4,"G.I.Pipe 2""",rft,325.0,310.0,295.0,Allied Cables & Wires,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_06.xlsx,quotation_comparisons,SATTI_PLAZA,345.0,
5,WIRE-7/029,mtr,100.0,85.0,108.0,Bismillah Timber Mart,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_06.xlsx,quotation_comparisons,SATTI_PLAZA,102.0,
Prepared by:,Procurement Dept,,,,,,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_06.xlsx,quotation_comparisons,SATTI_PLAZA,,
Approved by:,,,,,,,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_06.xlsx,quotation_comparisons,SATTI_PLAZA,,
Project: SATTI_PLAZA,,,,,,,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_07.xlsx,quotation_comparisons,SATTI_PLAZA,,
Date: 2011/05/06,,,,,,,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_07.xlsx,quotation_comparisons,SATTI_PLAZA,,
1,floor_tile_12,sft,89.0,85.0,92.0,Tariq & Sons Electricals,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_07.xlsx,quotation_comparisons,SATTI_PLAZA,93.0,
2,paint_oil_w,tin,1868.0,1812.0,2041.0,,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_07.xlsx,quotation_comparisons,SATTI_PLAZA,1775.0,
3,AGG-CRS34,cft,61.0,,60.0,Crown Cement Pvt Ltd,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_07.xlsx,quotation_comparisons,SATTI_PLAZA,52.0,
4,GLS-CLR6,sft,219.0,249.0,225.0,Super Steel & Iron Works,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_07.xlsx,quotation_comparisons,SATTI_PLAZA,238.0,
5,river_sand,cft,32.0,35.0,30.0,Karachi Sanitary Depot,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_07.xlsx,quotation_comparisons,SATTI_PLAZA,37.0,
6,ALU-WIN4,nos,14634.0,14758.0,14508.0,Crown Cement Pvt Ltd,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_07.xlsx,quotation_comparisons,SATTI_PLAZA,14174.0,
7,Armoured Cable 95,mtr,,823.0,828.0,Tariq & Sons Electricals,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_07.xlsx,quotation_comparisons,SATTI_PLAZA,844.0,
Prepared by:,,,,,,,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_07.xlsx,quotation_comparisons,SATTI_PLAZA,,
Approved by:,,,,,,,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_07.xlsx,quotation_comparisons,SATTI_PLAZA,,
