doc_no,pv-sat-001,date:,"april_26,_2016",_source_file,_folder,_project,pv-sat-002,09-25-2017,pv-sat-003,09/05/2018,pv-sat-004,10-30-2016,pv-sat-005,10/03/2016,date,vendor,amount,mode,bank,project,remarks,pv-sat-008,"december_31,_2017",pv-sat-009,02/04/2016,pv-sat-010,"november_17,_2017",pv-sat-011,25-jan-2016,pv-sat-012,23-mar-2015,pv-sat-013,03-feb-2018,pv-sat-014,24/07/2016,cheque,pv-sat-016,"october_07,_2015",pv-sat-017,11/05/2016,pv-sat-021,11/12/2016,pv-sat-022,19.06.2016,30/07/07,05-09-2006,pv-sat-006,"may_07,_2007",12-01-2007,"october_18,_2007",13/10/07,10-28-2007,16/07/2006,04.01.2007,01/11/2011,07-apr-2013,16-aug-2012,11-14-2011,pv-sat-007,09-05-2013,30/01/12,2013/11/19,06-30-2013,25/11/2012,pv-sat-015,2013/07/16,19.10.2011,2013/08/26,pv-sat-023,"december_19,_2011",pv-sat-024,05/07/2013,pv-sat-028,"may_30,_2013",pv-sat-029,17/03/2012
PAY MODE:,,Bank:,,payment_vouchers\SATTI_APTS_PayVoucher_014.xlsx,payment_vouchers,SATTI_APTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,Online Transfer,Allied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEQUE #:,,,,payment_vouchers\SATTI_APTS_PayVoucher_014.xlsx,payment_vouchers,SATTI_APTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PURPOSE:,,,,payment_vouchers\SATTI_APTS_PayVoucher_014.xlsx,payment_vouchers,SATTI_APTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,Material Purchase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APPROVED BY:,,,,payment_vouchers\SATTI_APTS_PayVoucher_014.xlsx,payment_vouchers,SATTI_APTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECEIVED BY:,,,,payment_vouchers\SATTI_APTS_PayVoucher_014.xlsx,payment_vouchers,SATTI_APTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV-SAT-015,,,,payment_vouchers\SATTI_APTS_PayVoucher_015.xlsx,payment_vouchers,SATTI_APTS,,,,,,,,,2015-07-08,Fazal Bricks & Tiles,,Cheque,MCB,SATTI_APTS,OK,,,,,,,,,,,,,,,CHQ-935635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAID TO:,,Project:,,payment_vouchers\SATTI_APTS_PayVoucher_016.xlsx,payment_vouchers,SATTI_APTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Al-Rehman Hardware,SATTI_APTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMOUNT (RS.):,,,,payment_vouchers\SATTI_APTS_PayVoucher_016.xlsx,payment_vouchers,SATTI_APTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN WORDS:,,,,payment_vouchers\SATTI_APTS_PayVoucher_016.xlsx,payment_vouchers,SATTI_APTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rupees 1,042,121 only",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAY MODE:,,Bank:,,payment_vouchers\SATTI_APTS_PayVoucher_016.xlsx,payment_vouchers,SATTI_APTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bank Al-Falah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEQUE #:,,,,payment_vouchers\SATTI_APTS_PayVoucher_016.xlsx,payment_vouchers,SATTI_APTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PURPOSE:,,,,payment_vouchers\SATTI_APTS_PayVoucher_016.xlsx,payment_vouchers,SATTI_APTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Contractor Bill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APPROVED BY:,,,,payment_vouchers\SATTI_APTS_PayVoucher_016.xlsx,payment_vouchers,SATTI_APTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECEIVED BY:,,,,payment_vouchers\SATTI_APTS_PayVoucher_016.xlsx,payment_vouchers,SATTI_APTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAID TO:,,Project:,,payment_vouchers\SATTI_APTS_PayVoucher_017.xlsx,payment_vouchers,SATTI_APTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pioneer Generators Ltd,SATTI_APTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMOUNT (RS.):,,,,payment_vouchers\SATTI_APTS_PayVoucher_017.xlsx,payment_vouchers,SATTI_APTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306405.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN WORDS:,,,,payment_vouchers\SATTI_APTS_PayVoucher_017.xlsx,payment_vouchers,SATTI_APTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rupees 306,405 only",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAY MODE:,,Bank:,,payment_vouchers\SATTI_APTS_PayVoucher_017.xlsx,payment_vouchers,SATTI_APTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cash,Bank Al-Falah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEQUE #:,,,,payment_vouchers\SATTI_APTS_PayVoucher_017.xlsx,payment_vouchers,SATTI_APTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PURPOSE:,,,,payment_vouchers\SATTI_APTS_PayVoucher_017.xlsx,payment_vouchers,SATTI_APTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Security Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APPROVED BY:,,,,payment_vouchers\SATTI_APTS_PayVoucher_017.xlsx,payment_vouchers,SATTI_APTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mr. Satti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECEIVED BY:,,,,payment_vouchers\SATTI_APTS_PayVoucher_017.xlsx,payment_vouchers,SATTI_APTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV-SAT-018,,,,payment_vouchers\SATTI_APTS_PayVoucher_018.xlsx,payment_vouchers,SATTI_APTS,,,,,,,,,2016-05-24,Hafiz Glass & Aluminum,535856.0,Cash,Meezan,SATTI_APTS,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV-SAT-019,,,,payment_vouchers\SATTI_APTS_PayVoucher_019.xlsx,payment_vouchers,SATTI_APTS,,,,,,,,,2018-07-09,Pioneer Generators Ltd,757327.95,DD,MCB,SATTI_APTS,Advance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV-SAT-020,,,,payment_vouchers\SATTI_APTS_PayVoucher_020.xlsx,payment_vouchers,SATTI_APTS,,,,,,,,,2015-09-11,National Paint House,633590.68,Pay Order,Bank Al-Falah,SATTI_APTS,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAID TO:,,Project:,,payment_vouchers\SATTI_APTS_PayVoucher_021.xlsx,payment_vouchers,SATTI_APTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Green Marble & Granite,SATTI_APTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMOUNT (RS.):,,,,payment_vouchers\SATTI_APTS_PayVoucher_021.xlsx,payment_vouchers,SATTI_APTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,442450.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN WORDS:,,,,payment_vouchers\SATTI_APTS_PayVoucher_021.xlsx,payment_vouchers,SATTI_APTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rupees 442,450 only",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAY MODE:,,Bank:,,payment_vouchers\SATTI_APTS_PayVoucher_021.xlsx,payment_vouchers,SATTI_APTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEQUE #:,,,,payment_vouchers\SATTI_APTS_PayVoucher_021.xlsx,payment_vouchers,SATTI_APTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PURPOSE:,,,,payment_vouchers\SATTI_APTS_PayVoucher_021.xlsx,payment_vouchers,SATTI_APTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APPROVED BY:,,,,payment_vouchers\SATTI_APTS_PayVoucher_021.xlsx,payment_vouchers,SATTI_APTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECEIVED BY:,,,,payment_vouchers\SATTI_APTS_PayVoucher_021.xlsx,payment_vouchers,SATTI_APTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAID TO:,,Project:,,payment_vouchers\SATTI_APTS_PayVoucher_022.xlsx,payment_vouchers,SATTI_APTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Iqbal Electrical Contractors,SATTI_APTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMOUNT (RS.):,,,,payment_vouchers\SATTI_APTS_PayVoucher_022.xlsx,payment_vouchers,SATTI_APTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1603276.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN WORDS:,,,,payment_vouchers\SATTI_APTS_PayVoucher_022.xlsx,payment_vouchers,SATTI_APTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rupees 1,603,276 only",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAY MODE:,,Bank:,,payment_vouchers\SATTI_APTS_PayVoucher_022.xlsx,payment_vouchers,SATTI_APTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pay Order,HBL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEQUE #:,,,,payment_vouchers\SATTI_APTS_PayVoucher_022.xlsx,payment_vouchers,SATTI_APTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PURPOSE:,,,,payment_vouchers\SATTI_APTS_PayVoucher_022.xlsx,payment_vouchers,SATTI_APTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Labour Payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APPROVED BY:,,,,payment_vouchers\SATTI_APTS_PayVoucher_022.xlsx,payment_vouchers,SATTI_APTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECEIVED BY:,,,,payment_vouchers\SATTI_APTS_PayVoucher_022.xlsx,payment_vouchers,SATTI_APTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV-SAT-001,,,,payment_vouchers\SATTI_MALL_PayVoucher_001.xlsx,payment_vouchers,SATTI_MALL,,,,,,,,,2007-04-02,Allied Cables & Wires,2397686.74,Cash,UBL,SATTI_MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV-SAT-002,,,,payment_vouchers\SATTI_MALL_PayVoucher_002.xlsx,payment_vouchers,SATTI_MALL,,,,,,,,,2007-06-28,Pak Steel Traders,1683402.0,Pay Order,,SATTI_MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAID TO:,,Project:,,payment_vouchers\SATTI_MALL_PayVoucher_003.xlsx,payment_vouchers,SATTI_MALL,,,Rehman Plumbing Works,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SATTI_MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMOUNT (RS.):,,,,payment_vouchers\SATTI_MALL_PayVoucher_003.xlsx,payment_vouchers,SATTI_MALL,,,82214.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN WORDS:,,,,payment_vouchers\SATTI_MALL_PayVoucher_003.xlsx,payment_vouchers,SATTI_MALL,,,"Rupees 82,214 only",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAY MODE:,,Bank:,,payment_vouchers\SATTI_MALL_PayVoucher_003.xlsx,payment_vouchers,SATTI_MALL,,,NEFT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MCB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEQUE #:,,,,payment_vouchers\SATTI_MALL_PayVoucher_003.xlsx,payment_vouchers,SATTI_MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PURPOSE:,,,,payment_vouchers\SATTI_MALL_PayVoucher_003.xlsx,payment_vouchers,SATTI_MALL,,,Security Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APPROVED BY:,,,,payment_vouchers\SATTI_MALL_PayVoucher_003.xlsx,payment_vouchers,SATTI_MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECEIVED BY:,,,,payment_vouchers\SATTI_MALL_PayVoucher_003.xlsx,payment_vouchers,SATTI_MALL,,,________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAID TO:,,Project:,,payment_vouchers\SATTI_MALL_PayVoucher_004.xlsx,payment_vouchers,SATTI_MALL,,,,,National Paint House,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SATTI_MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMOUNT (RS.):,,,,payment_vouchers\SATTI_MALL_PayVoucher_004.xlsx,payment_vouchers,SATTI_MALL,,,,,2098668.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN WORDS:,,,,payment_vouchers\SATTI_MALL_PayVoucher_004.xlsx,payment_vouchers,SATTI_MALL,,,,,"Rupees 2,098,668 only",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAY MODE:,,Bank:,,payment_vouchers\SATTI_MALL_PayVoucher_004.xlsx,payment_vouchers,SATTI_MALL,,,,,Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEQUE #:,,,,payment_vouchers\SATTI_MALL_PayVoucher_004.xlsx,payment_vouchers,SATTI_MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PURPOSE:,,,,payment_vouchers\SATTI_MALL_PayVoucher_004.xlsx,payment_vouchers,SATTI_MALL,,,,,Contractor Bill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APPROVED BY:,,,,payment_vouchers\SATTI_MALL_PayVoucher_004.xlsx,payment_vouchers,SATTI_MALL,,,,,Mr. Satti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECEIVED BY:,,,,payment_vouchers\SATTI_MALL_PayVoucher_004.xlsx,payment_vouchers,SATTI_MALL,,,,,________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV-SAT-005,,,,payment_vouchers\SATTI_MALL_PayVoucher_005.xlsx,payment_vouchers,SATTI_MALL,,,,,,,,,2007-05-02,Bismillah Timber Mart,1702983.11,Cheque,MCB,SATTI_MALL,OK,,,,,,,,,,,,,,,CHQ-955932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAID TO:,,Project:,,payment_vouchers\SATTI_MALL_PayVoucher_006.xlsx,payment_vouchers,SATTI_MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Siemens Pakistan (Electro),SATTI_MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMOUNT (RS.):,,,,payment_vouchers\SATTI_MALL_PayVoucher_006.xlsx,payment_vouchers,SATTI_MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2450397.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN WORDS:,,,,payment_vouchers\SATTI_MALL_PayVoucher_006.xlsx,payment_vouchers,SATTI_MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rupees 2,450,397 only",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAY MODE:,,Bank:,,payment_vouchers\SATTI_MALL_PayVoucher_006.xlsx,payment_vouchers,SATTI_MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cash,Meezan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEQUE #:,,,,payment_vouchers\SATTI_MALL_PayVoucher_006.xlsx,payment_vouchers,SATTI_MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PURPOSE:,,,,payment_vouchers\SATTI_MALL_PayVoucher_006.xlsx,payment_vouchers,SATTI_MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Contractor Bill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APPROVED BY:,,,,payment_vouchers\SATTI_MALL_PayVoucher_006.xlsx,payment_vouchers,SATTI_MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mr. Satti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECEIVED BY:,,,,payment_vouchers\SATTI_MALL_PayVoucher_006.xlsx,payment_vouchers,SATTI_MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV-SAT-007,,,,payment_vouchers\SATTI_MALL_PayVoucher_007.xlsx,payment_vouchers,SATTI_MALL,,,,,,,,,2008-02-13,Fazal Bricks & Tiles,2460737.53,DD,MCB,SATTI_MALL,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAID TO:,,Project:,,payment_vouchers\SATTI_MALL_PayVoucher_008.xlsx,payment_vouchers,SATTI_MALL,,,,,,,,,,,,,,,,Rehman Plumbing Works,,,,,,,,,,,,,,,,,,,,,,,,,,,SATTI_MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMOUNT (RS.):,,,,payment_vouchers\SATTI_MALL_PayVoucher_008.xlsx,payment_vouchers,SATTI_MALL,,,,,,,,,,,,,,,,488456.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN WORDS:,,,,payment_vouchers\SATTI_MALL_PayVoucher_008.xlsx,payment_vouchers,SATTI_MALL,,,,,,,,,,,,,,,,"Rupees 488,456 only",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAY MODE:,,Bank:,,payment_vouchers\SATTI_MALL_PayVoucher_008.xlsx,payment_vouchers,SATTI_MALL,,,,,,,,,,,,,,,,NEFT,,,,,,,,,,,,,,,,,,,,,,,,,,,UBL,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEQUE #:,,,,payment_vouchers\SATTI_MALL_PayVoucher_008.xlsx,payment_vouchers,SATTI_MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PURPOSE:,,,,payment_vouchers\SATTI_MALL_PayVoucher_008.xlsx,payment_vouchers,SATTI_MALL,,,,,,,,,,,,,,,,Advance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APPROVED BY:,,,,payment_vouchers\SATTI_MALL_PayVoucher_008.xlsx,payment_vouchers,SATTI_MALL,,,,,,,,,,,,,,,,MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECEIVED BY:,,,,payment_vouchers\SATTI_MALL_PayVoucher_008.xlsx,payment_vouchers,SATTI_MALL,,,,,,,,,,,,,,,,________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAID TO:,,Project:,,payment_vouchers\SATTI_MALL_PayVoucher_009.xlsx,payment_vouchers,SATTI_MALL,,,,,,,,,,,,,,,,,,Noor Finishing & Interior,,,,,,,,,,,,,,,,,,,,,,,,,,SATTI_MALL,,,,,,,,,,,,,,,,,,,,,,,,,,
AMOUNT (RS.):,,,,payment_vouchers\SATTI_MALL_PayVoucher_009.xlsx,payment_vouchers,SATTI_MALL,,,,,,,,,,,,,,,,,,"PKR 2,139,420",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN WORDS:,,,,payment_vouchers\SATTI_MALL_PayVoucher_009.xlsx,payment_vouchers,SATTI_MALL,,,,,,,,,,,,,,,,,,"Rupees 2,139,420 only",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAY MODE:,,Bank:,,payment_vouchers\SATTI_MALL_PayVoucher_009.xlsx,payment_vouchers,SATTI_MALL,,,,,,,,,,,,,,,,,,NEFT,,,,,,,,,,,,,,,,,,,,,,,,,,Meezan,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEQUE #:,,,,payment_vouchers\SATTI_MALL_PayVoucher_009.xlsx,payment_vouchers,SATTI_MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PURPOSE:,,,,payment_vouchers\SATTI_MALL_PayVoucher_009.xlsx,payment_vouchers,SATTI_MALL,,,,,,,,,,,,,,,,,,Running Bill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APPROVED BY:,,,,payment_vouchers\SATTI_MALL_PayVoucher_009.xlsx,payment_vouchers,SATTI_MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECEIVED BY:,,,,payment_vouchers\SATTI_MALL_PayVoucher_009.xlsx,payment_vouchers,SATTI_MALL,,,,,,,,,,,,,,,,,,________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV-SAT-010,,,,payment_vouchers\SATTI_MALL_PayVoucher_010.xlsx,payment_vouchers,SATTI_MALL,,,,,,,,,2008-02-16,Pak Steel Traders,2345036.47,NEFT,HBL,SATTI_MALL,Need receipt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAID TO:,,Project:,,payment_vouchers\SATTI_MALL_PayVoucher_011.xlsx,payment_vouchers,SATTI_MALL,,,,,,,,,,,,,,,,,,,,,,Bismillah Timber Mart,,,,,,,,,,,,,,,,,,,,,,,SATTI_MALL,,,,,,,,,,,,,,,,,,,,,,,,,
AMOUNT (RS.):,,,,payment_vouchers\SATTI_MALL_PayVoucher_011.xlsx,payment_vouchers,SATTI_MALL,,,,,,,,,,,,,,,,,,,,,,"PKR 308,686",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN WORDS:,,,,payment_vouchers\SATTI_MALL_PayVoucher_011.xlsx,payment_vouchers,SATTI_MALL,,,,,,,,,,,,,,,,,,,,,,"Rupees 308,685 only",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAY MODE:,,Bank:,,payment_vouchers\SATTI_MALL_PayVoucher_011.xlsx,payment_vouchers,SATTI_MALL,,,,,,,,,,,,,,,,,,,,,,DD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEQUE #:,,,,payment_vouchers\SATTI_MALL_PayVoucher_011.xlsx,payment_vouchers,SATTI_MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PURPOSE:,,,,payment_vouchers\SATTI_MALL_PayVoucher_011.xlsx,payment_vouchers,SATTI_MALL,,,,,,,,,,,,,,,,,,,,,,Contractor Bill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APPROVED BY:,,,,payment_vouchers\SATTI_MALL_PayVoucher_011.xlsx,payment_vouchers,SATTI_MALL,,,,,,,,,,,,,,,,,,,,,,Mr. Satti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECEIVED BY:,,,,payment_vouchers\SATTI_MALL_PayVoucher_011.xlsx,payment_vouchers,SATTI_MALL,,,,,,,,,,,,,,,,,,,,,,________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAID TO:,,Project:,,payment_vouchers\SATTI_MALL_PayVoucher_012.xlsx,payment_vouchers,SATTI_MALL,,,,,,,,,,,,,,,,,,,,,,,,Bismillah Timber Mart,,,,,,,,,,,,,,,,,,,,,,SATTI_MALL,,,,,,,,,,,,,,,,,,,,,,,,
