row_no,item_code,description,unit,opening_stock,received,issued,balance,remarks,_source_file,_folder,_project,credit,debit,closing_stock,nan,
13,BRK-A,Class A Brick,1000,48.1,177.2,24.0,,,inventory\SATTI_APTS_Inventory_Nov2015.xlsx,inventory,SATTI_APTS,,,201.3,,
14,CNC-RDY-M20,RMC-M20,cft,72.7,103.7,17.4,,,inventory\SATTI_APTS_Inventory_Nov2015.xlsx,inventory,SATTI_APTS,,,159.0,,
15,CEM-OPC50,CEM-OPC50,bag,137.5,463.8,458.0,,Surplus,inventory\SATTI_APTS_Inventory_Nov2015.xlsx,inventory,SATTI_APTS,,,143.5,,
16,WIR-CP7,Copper Wire 7/.029,mtr,84.9,363.8,0.4,,,inventory\SATTI_APTS_Inventory_Nov2015.xlsx,inventory,SATTI_APTS,,,448.3,,
17,SAN-WC,W.C. Std.,nos,134.2,187.3,95.0,,OK,inventory\SATTI_APTS_Inventory_Nov2015.xlsx,inventory,SATTI_APTS,,,226.5,,
Store Keeper:,,Site Engr:,,,,,,,inventory\SATTI_APTS_Inventory_Nov2015.xlsx,inventory,SATTI_APTS,,,,,
Project: SATTI_APTS   Month: November 2016,,,,,,,,,inventory\SATTI_APTS_Inventory_Nov2016.xlsx,inventory,SATTI_APTS,,,,,
1,GLS-CLR-6,GLASS-6MM,sft,124.2,454.1,46.7,531.6,Surplus,inventory\SATTI_APTS_Inventory_Nov2016.xlsx,inventory,SATTI_APTS,,,,,
2,REBAR 1/2 INCH,rebar 1/2 inch,kg,166.0,209.4,273.2,102.1,,inventory\SATTI_APTS_Inventory_Nov2016.xlsx,inventory,SATTI_APTS,,,,,
3,COMMODE STANDARD,Commode Standard,nos,132.4,130.4,233.1,29.7,Reorder,inventory\SATTI_APTS_Inventory_Nov2016.xlsx,inventory,SATTI_APTS,,,,,
4,BRICKS_A,Class A Brick,1000,115.1,163.8,246.3,33.0,Reorder,inventory\SATTI_APTS_Inventory_Nov2016.xlsx,inventory,SATTI_APTS,,,,,
5,READY MIX M20,rmc_m20,cft,115.3,474.2,285.6,303.9,OK,inventory\SATTI_APTS_Inventory_Nov2016.xlsx,inventory,SATTI_APTS,,,,,
6,WHITE OIL PAINT 4L,Oil Paint (White) 4Ltr,tin,94.3,351.5,262.1,183.7,OK,inventory\SATTI_APTS_Inventory_Nov2016.xlsx,inventory,SATTI_APTS,,,,,
7,AC-95SQ,CBL-ARM95,mtr,107.8,,542.9,0.5,,inventory\SATTI_APTS_Inventory_Nov2016.xlsx,inventory,SATTI_APTS,,,,,
8,PLY-MR-12,ply_mr_12mm,sht,82.3,377.9,238.1,222.1,,inventory\SATTI_APTS_Inventory_Nov2016.xlsx,inventory,SATTI_APTS,,,,,
9,MRB-IMP,MAR-W-IMP,sft,102.0,110.4,153.2,59.6,,inventory\SATTI_APTS_Inventory_Nov2016.xlsx,inventory,SATTI_APTS,,,,,
10,GI_PIPE_1INCH,GI PIPE 1IN,rft,17.0,403.3,272.4,147.7,OK,inventory\SATTI_APTS_Inventory_Nov2016.xlsx,inventory,SATTI_APTS,,,,,
11,WIRE_3029,Copper Wire 3/.029,mtr,92.0,262.1,268.7,85.3,OK,inventory\SATTI_APTS_Inventory_Nov2016.xlsx,inventory,SATTI_APTS,,,,,
12,ALM-W4,ALU-WIN4,nos,60.8,140.6,126.7,74.7,OK,inventory\SATTI_APTS_Inventory_Nov2016.xlsx,inventory,SATTI_APTS,,,,,
Store Keeper:,,Site Engr:,,,,,,,inventory\SATTI_APTS_Inventory_Nov2016.xlsx,inventory,SATTI_APTS,,,,,
Project: SATTI_APTS   Month: November 2017,,,,,,,,,inventory\SATTI_APTS_Inventory_Nov2017.xlsx,inventory,SATTI_APTS,,,,,
1,GALVPIPE-1,GalvPipe-1,rft,51.3,,,,,inventory\SATTI_APTS_Inventory_Nov2017.xlsx,inventory,SATTI_APTS,497.4,322.0,,,
2,CBL-ARM-95,arm_cable_95,mtr,142.3,,,,,inventory\SATTI_APTS_Inventory_Nov2017.xlsx,inventory,SATTI_APTS,61.0,93.4,109.9,,OK
3,FLOOR_TILE_12,TILE-12X12,sft,176.5,,,,,inventory\SATTI_APTS_Inventory_Nov2017.xlsx,inventory,SATTI_APTS,479.0,267.9,387.3,,OK
4,REBAR 1/2 INCH,rebar 1/2 inch,kg,1.6,,,,,inventory\SATTI_APTS_Inventory_Nov2017.xlsx,inventory,SATTI_APTS,278.3,242.0,37.9,,Surplus
5,WIRE-7/029,Copper Wire 7/.029,mtr,137.8,,,,,inventory\SATTI_APTS_Inventory_Nov2017.xlsx,inventory,SATTI_APTS,74.6,189.2,23.2,,OK
6,PIP-GI2,GalvPipe-2,rft,107.3,,,,,inventory\SATTI_APTS_Inventory_Nov2017.xlsx,inventory,SATTI_APTS,,82.6,26.0,,
7,COMMODE STANDARD,toilet_std,nos,145.5,,,,,inventory\SATTI_APTS_Inventory_Nov2017.xlsx,inventory,SATTI_APTS,340.8,404.5,82.0,,Surplus
8,COPWIRE3,WIR-CP3,mtr,95.9,,,,,inventory\SATTI_APTS_Inventory_Nov2017.xlsx,inventory,SATTI_APTS,134.4,64.7,166.0,,Reorder
9,AGG-CRS-34,Bajri 3/4,cft,64.5,,,,,inventory\SATTI_APTS_Inventory_Nov2017.xlsx,inventory,SATTI_APTS,172.3,186.4,50.4,,Surplus
10,PLY_MR_12MM,Plywood 12mm MR,sht,193.1,,,,,inventory\SATTI_APTS_Inventory_Nov2017.xlsx,inventory,SATTI_APTS,43.5,162.3,74.3,,OK
11,GLASS-6MM,6mm Clear Glass,sft,167.8,,,,,inventory\SATTI_APTS_Inventory_Nov2017.xlsx,inventory,SATTI_APTS,326.0,390.1,103.7,,Surplus
12,REBAR-16MM,16mm Steel Rebar,kg,153.5,,,,,inventory\SATTI_APTS_Inventory_Nov2017.xlsx,inventory,SATTI_APTS,389.3,236.6,306.2,,OK
13,GEN-25KVA,25 KVA Generator,nos,113.1,,,,,inventory\SATTI_APTS_Inventory_Nov2017.xlsx,inventory,SATTI_APTS,103.0,159.4,57.0,,
14,"A.WIN 4""",ALU-WIN4,nos,115.1,,,,,inventory\SATTI_APTS_Inventory_Nov2017.xlsx,inventory,SATTI_APTS,326.1,68.5,372.7,,OK
15,ENAMEL WH.,paint_oil_w,tin,33.5,,,,,inventory\SATTI_APTS_Inventory_Nov2017.xlsx,inventory,SATTI_APTS,190.8,124.1,100.2,,
16,MARBLE WHT,imp_marble_w,sft,,,,,,inventory\SATTI_APTS_Inventory_Nov2017.xlsx,inventory,SATTI_APTS,137.3,263.0,68.4,,Reorder
17,READY MIX M20,rmc_m20,cft,48.4,,,,,inventory\SATTI_APTS_Inventory_Nov2017.xlsx,inventory,SATTI_APTS,397.3,234.9,210.8,,Reorder
18,BRK-CLS-A,BRICK-CLA,1000,49.0,,,,,inventory\SATTI_APTS_Inventory_Nov2017.xlsx,inventory,SATTI_APTS,77.1,49.6,76.5,,Surplus
19,SND-RV,Reti (River),cft,27.2,,,,,inventory\SATTI_APTS_Inventory_Nov2017.xlsx,inventory,SATTI_APTS,314.6,256.1,85.7,,
Store Keeper:,,Site Engr:,,,,,,,inventory\SATTI_APTS_Inventory_Nov2017.xlsx,inventory,SATTI_APTS,,,,,
Project: SATTI_MALL   Month: January 2007,,,,,,,,,inventory\SATTI_MALL_Inventory_Jan2007.xlsx,inventory,SATTI_MALL,,,,,
1,CNC-RDY-M20,CNC-M20,cft,173.7,460.8,204.4,430.1,Surplus,inventory\SATTI_MALL_Inventory_Jan2007.xlsx,inventory,SATTI_MALL,,,,,
2,AL_WINDOW_4,"A.Win 4""",nos,37.4,82.7,,63.2,Reorder,inventory\SATTI_MALL_Inventory_Jan2007.xlsx,inventory,SATTI_MALL,,,,,
3,PIP-GI-1,PIP-GI1,rft,47.7,91.2,80.0,59.0,OK,inventory\SATTI_MALL_Inventory_Jan2007.xlsx,inventory,SATTI_MALL,,,,,
4,AGG-CRS34,coarse agg,cft,55.8,69.0,120.2,4.8,,inventory\SATTI_MALL_Inventory_Jan2007.xlsx,inventory,SATTI_MALL,,,,,
5,AC-95SQ,Armoured Cable 95,mtr,66.3,160.5,19.1,207.7,Surplus,inventory\SATTI_MALL_Inventory_Jan2007.xlsx,inventory,SATTI_MALL,,,,,
6,COPWIRE3,wire_3029,mtr,121.9,35.0,86.3,70.3,Reorder,inventory\SATTI_MALL_Inventory_Jan2007.xlsx,inventory,SATTI_MALL,,,,,
7,SAN-WC,W.C. Std.,nos,30.9,386.7,180.6,237.0,Surplus,inventory\SATTI_MALL_Inventory_Jan2007.xlsx,inventory,SATTI_MALL,,,,,
8,MRB-IMP,Imported White Marble,sft,83.0,363.0,312.0,133.8,,inventory\SATTI_MALL_Inventory_Jan2007.xlsx,inventory,SATTI_MALL,,,,,
9,25KVA GENSET,25 KVA Generator,nos,41.5,180.8,52.9,169.4,Reorder,inventory\SATTI_MALL_Inventory_Jan2007.xlsx,inventory,SATTI_MALL,,,,,
10,OIL-PAINT-W,Oil Paint (White) 4Ltr,tin,145.6,18.8,77.7,86.7,,inventory\SATTI_MALL_Inventory_Jan2007.xlsx,inventory,SATTI_MALL,,,,,
Store Keeper:,,Site Engr:,,,,,,,inventory\SATTI_MALL_Inventory_Jan2007.xlsx,inventory,SATTI_MALL,,,,,
Project: SATTI_MALL   Month: January 2008,,,,,,,,,inventory\SATTI_MALL_Inventory_Jan2008.xlsx,inventory,SATTI_MALL,,,,,
1,BRICKS_A,Red Brick A-Grade,1000,75.3,311.4,108.3,278.4,,inventory\SATTI_MALL_Inventory_Jan2008.xlsx,inventory,SATTI_MALL,,,,,
2,WHITE MARBLE IMP.,MRB-IMP,sft,140.0,192.0,60.4,271.6,Reorder,inventory\SATTI_MALL_Inventory_Jan2008.xlsx,inventory,SATTI_MALL,,,,,
3,TOILET_STD,Standard WC/Commode,nos,93.7,250.3,101.4,242.6,Reorder,inventory\SATTI_MALL_Inventory_Jan2008.xlsx,inventory,SATTI_MALL,,,,,
4,RIVER_SAND,river_sand,cft,167.2,466.8,588.3,45.7,,inventory\SATTI_MALL_Inventory_Jan2008.xlsx,inventory,SATTI_MALL,,,,,
5,GI_PIPE_2INCH,gi_pipe_2inch,rft,5.4,75.8,14.0,67.3,Surplus,inventory\SATTI_MALL_Inventory_Jan2008.xlsx,inventory,SATTI_MALL,,,,,
6,PLYWD-12,ply_mr_12mm,sht,108.4,318.9,23.8,403.5,Reorder,inventory\SATTI_MALL_Inventory_Jan2008.xlsx,inventory,SATTI_MALL,,,,,
7,TIL-CER-12,"Tile 12x12""",sft,158.2,210.4,115.7,252.9,,inventory\SATTI_MALL_Inventory_Jan2008.xlsx,inventory,SATTI_MALL,,,,,
8,RMC_M20,M20 Ready Mix Concrete,cft,169.0,374.5,251.3,291.8,,inventory\SATTI_MALL_Inventory_Jan2008.xlsx,inventory,SATTI_MALL,,,,,
9,CEMENT-50,OPC 50 KG,bag,,381.1,362.9,215.7,,inventory\SATTI_MALL_Inventory_Jan2008.xlsx,inventory,SATTI_MALL,,,,,
10,PIP-GI1,gi_pipe_1inch,rft,4.6,78.0,1.4,81.0,,inventory\SATTI_MALL_Inventory_Jan2008.xlsx,inventory,SATTI_MALL,,,,,
11,S.BAR 12MM,S.Bar 12mm,kg,120.0,316.0,145.7,,,inventory\SATTI_MALL_Inventory_Jan2008.xlsx,inventory,SATTI_MALL,,,,,
12,GENERATOR 25KVA,Generator 25KVA,nos,129.0,423.7,433.2,119.0,Surplus,inventory\SATTI_MALL_Inventory_Jan2008.xlsx,inventory,SATTI_MALL,,,,,
Store Keeper:,,Site Engr:,,,,,,,inventory\SATTI_MALL_Inventory_Jan2008.xlsx,inventory,SATTI_MALL,,,,,
Project: SATTI_MALL   Month: May 2006,,,,,,,,,inventory\SATTI_MALL_Inventory_May2006.xlsx,inventory,SATTI_MALL,,,,,
1,WIR-COP-3,wire_3029,mtr,167.4,207.0,28.5,346.0,,inventory\SATTI_MALL_Inventory_May2006.xlsx,inventory,SATTI_MALL,,,,,
2,ARMD-CBL-95,95mm² Armoured Cable,mtr,96.7,119.4,142.0,74.0,OK,inventory\SATTI_MALL_Inventory_May2006.xlsx,inventory,SATTI_MALL,,,,,
3,STL-RB-12,Steel Bar 12,kg,163.0,279.2,156.5,285.5,,inventory\SATTI_MALL_Inventory_May2006.xlsx,inventory,SATTI_MALL,,,,,
4,COPPER WIRE 7/.029,WIRE-7/029,mtr,54.2,400.4,178.4,276.2,Surplus,inventory\SATTI_MALL_Inventory_May2006.xlsx,inventory,SATTI_MALL,,,,,
5,ALM-WIN-4,4ft Aluminum Window,nos,57.0,293.9,313.1,37.8,,inventory\SATTI_MALL_Inventory_May2006.xlsx,inventory,SATTI_MALL,,,,,
6,PIP-GI-1,PIP-GI1,rft,,394.2,281.0,233.8,Surplus,inventory\SATTI_MALL_Inventory_May2006.xlsx,inventory,SATTI_MALL,,,,,
7,MRB-IMP,Marble Wht,sft,146.3,119.3,98.7,166.9,,inventory\SATTI_MALL_Inventory_May2006.xlsx,inventory,SATTI_MALL,,,,,
8,GI_PIPE_2INCH,gi_pipe_2inch,rft,2.5,196.0,31.2,167.2,Surplus,inventory\SATTI_MALL_Inventory_May2006.xlsx,inventory,SATTI_MALL,,,,,
9,PAI-OIL,PAI-OIL,tin,144.5,171.3,131.9,183.9,Reorder,inventory\SATTI_MALL_Inventory_May2006.xlsx,inventory,SATTI_MALL,,,,,
10,GENERATOR 25KVA,Generator 25KVA,nos,180.0,381.0,471.5,89.5,,inventory\SATTI_MALL_Inventory_May2006.xlsx,inventory,SATTI_MALL,,,,,
11,GLS-CLR-6,Sheesha 6mm,sft,143.1,299.7,272.4,170.4,Reorder,inventory\SATTI_MALL_Inventory_May2006.xlsx,inventory,SATTI_MALL,,,,,
12,CEM-OPC-50,OPC Cement 50kg Bag,bag,39.9,428.1,68.0,400.0,Reorder,inventory\SATTI_MALL_Inventory_May2006.xlsx,inventory,SATTI_MALL,,,,,
13,BRICK-CLA,BRK-A,1000,160.1,120.5,185.0,95.9,OK,inventory\SATTI_MALL_Inventory_May2006.xlsx,inventory,SATTI_MALL,,,,,
14,PLYWD-12,PLY-MR12,sht,120.1,235.2,2.5,352.8,,inventory\SATTI_MALL_Inventory_May2006.xlsx,inventory,SATTI_MALL,,,,,
15,W.C. STD.,W.C. Std.,nos,154.0,459.3,549.6,64.2,,inventory\SATTI_MALL_Inventory_May2006.xlsx,inventory,SATTI_MALL,,,,,
Store Keeper:,,Site Engr:,,,,,,,inventory\SATTI_MALL_Inventory_May2006.xlsx,inventory,SATTI_MALL,,,,,
Project: SATTI_MALL   Month: May 2007,,,,,,,,,inventory\SATTI_MALL_Inventory_May2007.xlsx,inventory,SATTI_MALL,,,,,
1,TOILET_STD,SAN-WC,nos,196.2,349.5,311.4,234.3,,inventory\SATTI_MALL_Inventory_May2007.xlsx,inventory,SATTI_MALL,,,,,
2,CEMENT-50,OPC 50 KG,bag,182.8,253.0,15.0,421.0,Reorder,inventory\SATTI_MALL_Inventory_May2007.xlsx,inventory,SATTI_MALL,,,,,
3,WIRE_3029,WIR-CP3,mtr,28.6,208.5,206.8,30.3,Reorder,inventory\SATTI_MALL_Inventory_May2007.xlsx,inventory,SATTI_MALL,,,,,
4,GLS-CLR-6,GLS-CLR6,sft,20.2,359.3,222.3,157.2,,inventory\SATTI_MALL_Inventory_May2007.xlsx,inventory,SATTI_MALL,,,,,
5,WIRE-7/029,CopWire7,mtr,186.6,,4.9,295.7,OK,inventory\SATTI_MALL_Inventory_May2007.xlsx,inventory,SATTI_MALL,,,,,
6,SND-RV,river_sand,cft,194.4,,166.1,379.9,Reorder,inventory\SATTI_MALL_Inventory_May2007.xlsx,inventory,SATTI_MALL,,,,,
7,ARMOURED CABLE 95,AC-95sq,mtr,100.8,245.8,293.7,52.9,Surplus,inventory\SATTI_MALL_Inventory_May2007.xlsx,inventory,SATTI_MALL,,,,,
8,GI_PIPE_2INCH,GalvPipe-2,rft,96.6,165.0,143.0,118.5,,inventory\SATTI_MALL_Inventory_May2007.xlsx,inventory,SATTI_MALL,,,,,
9,PLY-MR12,ply_mr_12mm,sht,144.7,287.8,160.1,272.4,Reorder,inventory\SATTI_MALL_Inventory_May2007.xlsx,inventory,SATTI_MALL,,,,,
10,RMC_M20,RMC-M20,cft,103.1,343.3,,168.1,OK,inventory\SATTI_MALL_Inventory_May2007.xlsx,inventory,SATTI_MALL,,,,,
11,RED BRICK A-GRADE,Class A Brick,1000,30.8,198.0,27.2,201.1,Surplus,inventory\SATTI_MALL_Inventory_May2007.xlsx,inventory,SATTI_MALL,,,,,
12,STL-RB-16,16mm Steel Rebar,kg,83.7,178.2,83.5,178.4,,inventory\SATTI_MALL_Inventory_May2007.xlsx,inventory,SATTI_MALL,,,,,
Store Keeper:,,Site Engr:,,,,,,,inventory\SATTI_MALL_Inventory_May2007.xlsx,inventory,SATTI_MALL,,,,,
Project: SATTI_MALL   Month: September 2006,,,,,,,,,inventory\SATTI_MALL_Inventory_Sep2006.xlsx,inventory,SATTI_MALL,,,,,
1,GEN-25KVA,GEN-25K,nos,146.2,443.5,52.0,538.0,,inventory\SATTI_MALL_Inventory_Sep2006.xlsx,inventory,SATTI_MALL,,,,,
2,TIL-CER12,floor_tile_12,sft,8.8,59.1,11.0,56.7,,inventory\SATTI_MALL_Inventory_Sep2006.xlsx,inventory,SATTI_MALL,,,,,
3,REBAR-16MM,STL-RB16,kg,137.7,383.7,239.9,281.5,,inventory\SATTI_MALL_Inventory_Sep2006.xlsx,inventory,SATTI_MALL,,,,,
4,PLY-MR12,Plywood 12mm MR,sht,8.0,311.6,170.6,149.3,Surplus,inventory\SATTI_MALL_Inventory_Sep2006.xlsx,inventory,SATTI_MALL,,,,,
5,AC-95SQ,ARMD-CBL-95,mtr,51.6,137.0,118.7,69.6,,inventory\SATTI_MALL_Inventory_Sep2006.xlsx,inventory,SATTI_MALL,,,,,
6,GI PIPE 1IN,GI PIPE 1IN,rft,45.0,45.3,50.3,40.0,Reorder,inventory\SATTI_MALL_Inventory_Sep2006.xlsx,inventory,SATTI_MALL,,,,,
7,BRICK-CLA,BRICK-CLA,1000,152.4,199.1,142.8,208.7,Surplus,inventory\SATTI_MALL_Inventory_Sep2006.xlsx,inventory,SATTI_MALL,,,,,
8,STL-RB-12,REBAR-12MM,kg,139.9,189.9,77.4,252.4,,inventory\SATTI_MALL_Inventory_Sep2006.xlsx,inventory,SATTI_MALL,,,,,
9,CLEAR GLASS 6,6mm Clear Glass,sft,59.3,431.8,76.0,,,inventory\SATTI_MALL_Inventory_Sep2006.xlsx,inventory,SATTI_MALL,,,,,
10,OIL-PAINT-W,Oil Paint (White) 4Ltr,tin,14.0,477.4,334.7,156.9,Surplus,inventory\SATTI_MALL_Inventory_Sep2006.xlsx,inventory,SATTI_MALL,,,,,
11,SAN-WC-STD,WC-STD,nos,85.0,173.4,113.5,144.0,OK,inventory\SATTI_MALL_Inventory_Sep2006.xlsx,inventory,SATTI_MALL,,,,,
12,RMC-M20,Ready Mix M20,cft,113.4,28.3,53.2,88.5,Reorder,inventory\SATTI_MALL_Inventory_Sep2006.xlsx,inventory,SATTI_MALL,,,,,
13,WHITE MARBLE IMP.,imp_marble_w,sft,10.9,361.0,45.8,326.4,,inventory\SATTI_MALL_Inventory_Sep2006.xlsx,inventory,SATTI_MALL,,,,,
14,CEMENT BAG 50KG,cem_opc_50,bag,187.3,423.8,247.3,363.8,OK,inventory\SATTI_MALL_Inventory_Sep2006.xlsx,inventory,SATTI_MALL,,,,,
Store Keeper:,,Site Engr:,,,,,,,inventory\SATTI_MALL_Inventory_Sep2006.xlsx,inventory,SATTI_MALL,,,,,
Project: SATTI_MALL   Month: September 2007,,,,,,,,,inventory\SATTI_MALL_Inventory_Sep2007.xlsx,inventory,SATTI_MALL,,,,,
1,GENERATOR 25KVA,25KVA Genset,nos,182.4,499.1,11.6,669.9,,inventory\SATTI_MALL_Inventory_Sep2007.xlsx,inventory,SATTI_MALL,,,,,
2,MRB-IMP,White Marble Imp.,sft,38.8,,143.1,336.6,,inventory\SATTI_MALL_Inventory_Sep2007.xlsx,inventory,SATTI_MALL,,,,,
3,"A.WIN 4""",ALU-WIN4,nos,146.3,270.3,306.6,110.0,,inventory\SATTI_MALL_Inventory_Sep2007.xlsx,inventory,SATTI_MALL,,,,,
4,WIRE_3029,CopWire3,mtr,2.4,385.1,247.2,140.3,,inventory\SATTI_MALL_Inventory_Sep2007.xlsx,inventory,SATTI_MALL,,,,,
5,STL-RB12,REBAR-12MM,kg,67.3,76.4,38.6,105.0,Reorder,inventory\SATTI_MALL_Inventory_Sep2007.xlsx,inventory,SATTI_MALL,,,,,
6,CEMENT BAG 50KG,CEM-OPC50,bag,70.8,385.0,342.7,113.0,Reorder,inventory\SATTI_MALL_Inventory_Sep2007.xlsx,inventory,SATTI_MALL,,,,,
7,"TILE 12X12""",TIL-CER12,sft,114.6,338.4,402.4,50.6,Surplus,inventory\SATTI_MALL_Inventory_Sep2007.xlsx,inventory,SATTI_MALL,,,,,
8,BRICKS_A,Red Brick A-Grade,1000,50.2,73.6,107.9,15.9,,inventory\SATTI_MALL_Inventory_Sep2007.xlsx,inventory,SATTI_MALL,,,,,
9,SAN-WC,WC-STD,nos,104.1,305.3,,52.8,,inventory\SATTI_MALL_Inventory_Sep2007.xlsx,inventory,SATTI_MALL,,,,,
Store Keeper:,,Site Engr:,,,,,,,inventory\SATTI_MALL_Inventory_Sep2007.xlsx,inventory,SATTI_MALL,,,,,
Project: SATTI_PLAZA   Month: April 2011,,,,,,,,,inventory\SATTI_PLAZA_Inventory_Apr2011.xlsx,inventory,SATTI_PLAZA,,,,,
1,PLY-MR-12,PLY-MR12,sht,168.0,,,,,inventory\SATTI_PLAZA_Inventory_Apr2011.xlsx,inventory,SATTI_PLAZA,329.1,437.4,59.7,,Reorder
2,GLS-CLR-6,GLASS-6MM,sft,25.4,,,,,inventory\SATTI_PLAZA_Inventory_Apr2011.xlsx,inventory,SATTI_PLAZA,46.8,34.5,37.7,,Reorder
3,GENSET-25,GENSET-25,nos,196.0,,,,,inventory\SATTI_PLAZA_Inventory_Apr2011.xlsx,inventory,SATTI_PLAZA,269.0,48.7,416.4,,
4,SAN-WC,W.C. Std.,nos,158.7,,,,,inventory\SATTI_PLAZA_Inventory_Apr2011.xlsx,inventory,SATTI_PLAZA,425.4,115.9,468.2,,
5,GALVPIPE-2,"2"" GI Pipe",rft,116.6,,,,,inventory\SATTI_PLAZA_Inventory_Apr2011.xlsx,inventory,SATTI_PLAZA,219.0,292.9,42.7,,Reorder
6,BRICKS_A,BRICK-CLA,1000,71.4,,,,,inventory\SATTI_PLAZA_Inventory_Apr2011.xlsx,inventory,SATTI_PLAZA,256.2,86.3,241.3,,OK
7,RETI (RIVER),Sand (Fine),cft,171.0,,,,,inventory\SATTI_PLAZA_Inventory_Apr2011.xlsx,inventory,SATTI_PLAZA,476.9,527.8,120.3,,OK
8,ARM_CABLE_95,AC-95sq,mtr,41.7,,,,,inventory\SATTI_PLAZA_Inventory_Apr2011.xlsx,inventory,SATTI_PLAZA,59.5,58.9,42.3,,OK
9,PAI-OIL,Oil Paint (White) 4Ltr,tin,101.8,,,,,inventory\SATTI_PLAZA_Inventory_Apr2011.xlsx,inventory,SATTI_PLAZA,481.0,451.0,132.0,,
10,"A.WIN 4""","A.Win 4""",nos,60.9,,,,,inventory\SATTI_PLAZA_Inventory_Apr2011.xlsx,inventory,SATTI_PLAZA,81.8,117.2,25.5,,Reorder
11,REBAR-12MM,S.Bar 12mm,kg,147.8,,,,,inventory\SATTI_PLAZA_Inventory_Apr2011.xlsx,inventory,SATTI_PLAZA,269.0,242.9,173.7,,Reorder
12,READY MIX M20,rmc_m20,cft,50.9,,,,,inventory\SATTI_PLAZA_Inventory_Apr2011.xlsx,inventory,SATTI_PLAZA,88.3,17.0,122.2,,Surplus
13,COPWIRE7,7/0.029 Copper Wire,mtr,84.9,,,,,inventory\SATTI_PLAZA_Inventory_Apr2011.xlsx,inventory,SATTI_PLAZA,221.0,103.0,202.9,,Surplus
14,STL-RB-16,S.Bar 16mm,kg,166.8,,,,,inventory\SATTI_PLAZA_Inventory_Apr2011.xlsx,inventory,SATTI_PLAZA,143.3,309.6,0.5,,Surplus
15,TIL-CER-12,"Tile 12x12""",sft,118.2,,,,,inventory\SATTI_PLAZA_Inventory_Apr2011.xlsx,inventory,SATTI_PLAZA,408.6,107.0,419.7,,
Store Keeper:,,Site Engr:,,,,,,,inventory\SATTI_PLAZA_Inventory_Apr2011.xlsx,inventory,SATTI_PLAZA,,,,,
Project: SATTI_PLAZA   Month: April 2012,,,,,,,,,inventory\SATTI_PLAZA_Inventory_Apr2012.xlsx,inventory,SATTI_PLAZA,,,,,
1,PIP-GI2,GI PIPE 2IN,rft,157.5,436.2,303.3,290.4,Reorder,inventory\SATTI_PLAZA_Inventory_Apr2012.xlsx,inventory,SATTI_PLAZA,,,,,
2,WHITE OIL PAINT 4L,paint_oil_w,tin,139.6,79.6,192.5,26.7,Reorder,inventory\SATTI_PLAZA_Inventory_Apr2012.xlsx,inventory,SATTI_PLAZA,,,,,
3,TILE-12X12,TIL-CER12,sft,112.2,349.4,323.0,138.6,Reorder,inventory\SATTI_PLAZA_Inventory_Apr2012.xlsx,inventory,SATTI_PLAZA,,,,,
4,CEM-OPC50,CEMENT-50,bag,40.5,455.4,,121.5,Surplus,inventory\SATTI_PLAZA_Inventory_Apr2012.xlsx,inventory,SATTI_PLAZA,,,,,
5,PLY_MR_12MM,Plywood 12mm MR,sht,,348.9,218.2,303.4,OK,inventory\SATTI_PLAZA_Inventory_Apr2012.xlsx,inventory,SATTI_PLAZA,,,,,
6,MAR-W-IMP,White Marble Imp.,sft,109.7,250.0,154.4,205.4,,inventory\SATTI_PLAZA_Inventory_Apr2012.xlsx,inventory,SATTI_PLAZA,,,,,
7,GENERATOR 25KVA,25KVA Genset,nos,118.0,118.2,143.7,92.5,Reorder,inventory\SATTI_PLAZA_Inventory_Apr2012.xlsx,inventory,SATTI_PLAZA,,,,,
8,GALVPIPE-1,gi_pipe_1inch,rft,16.7,196.8,167.0,46.6,Surplus,inventory\SATTI_PLAZA_Inventory_Apr2012.xlsx,inventory,SATTI_PLAZA,,,,,
9,ARMOURED CABLE 95,CBL-ARM95,mtr,75.9,236.0,52.0,259.9,Surplus,inventory\SATTI_PLAZA_Inventory_Apr2012.xlsx,inventory,SATTI_PLAZA,,,,,
10,RIVER_SAND,Sand (Fine),cft,3.8,448.1,174.7,277.2,Reorder,inventory\SATTI_PLAZA_Inventory_Apr2012.xlsx,inventory,SATTI_PLAZA,,,,,
11,ALM-W4,al_window_4,nos,,391.5,240.9,304.2,OK,inventory\SATTI_PLAZA_Inventory_Apr2012.xlsx,inventory,SATTI_PLAZA,,,,,
12,S.BAR 16MM,REBAR-16MM,kg,,202.7,249.1,22.5,,inventory\SATTI_PLAZA_Inventory_Apr2012.xlsx,inventory,SATTI_PLAZA,,,,,
13,GRAVEL-3/4,Coarse Aggregate 3/4 inch,cft,43.0,410.0,118.9,,Surplus,inventory\SATTI_PLAZA_Inventory_Apr2012.xlsx,inventory,SATTI_PLAZA,,,,,
14,CLASS A BRICK,bricks_a,1000,58.4,230.1,179.0,109.5,OK,inventory\SATTI_PLAZA_Inventory_Apr2012.xlsx,inventory,SATTI_PLAZA,,,,,
15,GLS-CLR6,6mm_glass,sft,,52.4,29.1,45.5,OK,inventory\SATTI_PLAZA_Inventory_Apr2012.xlsx,inventory,SATTI_PLAZA,,,,,
Store Keeper:,,Site Engr:,,,,,,,inventory\SATTI_PLAZA_Inventory_Apr2012.xlsx,inventory,SATTI_PLAZA,,,,,
